
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,3,
5,5,5,um,Spot,Diameter,1,15,
5,5,5,um,Spot,Diameter,1,18,
5,5,5,um,Spot,Diameter,1,40,
5,5,5,um,Spot,Diameter,1,41,
5,5,5,um,Spot,Diameter,1,44,
5,5,5,um,Spot,Diameter,1,63,
5,5,5,um,Spot,Diameter,1,64,
5,5,5,um,Spot,Diameter,1,66,
5,5,5,um,Spot,Diameter,1,70,
5,5,5,um,Spot,Diameter,1,73,
5,5,5,um,Spot,Diameter,1,74,
5,5,5,um,Spot,Diameter,1,76,
5,5,5,um,Spot,Diameter,1,80,
5,5,5,um,Spot,Diameter,1,81,
5,5,5,um,Spot,Diameter,1,82,
5,5,5,um,Spot,Diameter,1,83,
5,5,5,um,Spot,Diameter,1,84,
5,5,5,um,Spot,Diameter,1,85,
5,5,5,um,Spot,Diameter,1,86,
5,5,5,um,Spot,Diameter,1,87,
5,5,5,um,Spot,Diameter,1,88,
5,5,5,um,Spot,Diameter,1,90,
5,5,5,um,Spot,Diameter,1,91,
5,5,5,um,Spot,Diameter,1,92,
5,5,5,um,Spot,Diameter,1,93,
5,5,5,um,Spot,Diameter,1,94,
5,5,5,um,Spot,Diameter,1,95,
5,5,5,um,Spot,Diameter,1,96,
5,5,5,um,Spot,Diameter,1,97,
5,5,5,um,Spot,Diameter,1,98,
5,5,5,um,Spot,Diameter,1,99,
5,5,5,um,Spot,Diameter,1,100,
5,5,5,um,Spot,Diameter,1,101,
5,5,5,um,Spot,Diameter,1,102,
5,5,5,um,Spot,Diameter,1,103,
5,5,5,um,Spot,Diameter,1,104,
5,5,5,um,Spot,Diameter,1,105,
5,5,5,um,Spot,Diameter,1,106,
5,5,5,um,Spot,Diameter,1,107,
5,5,5,um,Spot,Diameter,1,108,
5,5,5,um,Spot,Diameter,1,109,
5,5,5,um,Spot,Diameter,1,110,
