
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
52.8647,um,Spot,Distance from Origin,1,3,
55.0653,um,Spot,Distance from Origin,1,15,
67.3105,um,Spot,Distance from Origin,1,18,
118.599,um,Spot,Distance from Origin,1,40,
124.018,um,Spot,Distance from Origin,1,41,
100.936,um,Spot,Distance from Origin,1,44,
54.8873,um,Spot,Distance from Origin,1,63,
61.4165,um,Spot,Distance from Origin,1,64,
68.0778,um,Spot,Distance from Origin,1,66,
70.9951,um,Spot,Distance from Origin,1,70,
81.0399,um,Spot,Distance from Origin,1,73,
65.5521,um,Spot,Distance from Origin,1,74,
65.3359,um,Spot,Distance from Origin,1,76,
74.7721,um,Spot,Distance from Origin,1,80,
62.345,um,Spot,Distance from Origin,1,81,
87.3668,um,Spot,Distance from Origin,1,82,
73.8884,um,Spot,Distance from Origin,1,83,
76.317,um,Spot,Distance from Origin,1,84,
79.8569,um,Spot,Distance from Origin,1,85,
63.0918,um,Spot,Distance from Origin,1,86,
70.5676,um,Spot,Distance from Origin,1,87,
75.8449,um,Spot,Distance from Origin,1,88,
84.2009,um,Spot,Distance from Origin,1,90,
95.737,um,Spot,Distance from Origin,1,91,
92.3217,um,Spot,Distance from Origin,1,92,
109.837,um,Spot,Distance from Origin,1,93,
89.6896,um,Spot,Distance from Origin,1,94,
105.083,um,Spot,Distance from Origin,1,95,
101.382,um,Spot,Distance from Origin,1,96,
104.945,um,Spot,Distance from Origin,1,97,
86.2494,um,Spot,Distance from Origin,1,98,
97.562,um,Spot,Distance from Origin,1,99,
94.2685,um,Spot,Distance from Origin,1,100,
96.9209,um,Spot,Distance from Origin,1,101,
114.465,um,Spot,Distance from Origin,1,102,
103.77,um,Spot,Distance from Origin,1,103,
118.966,um,Spot,Distance from Origin,1,104,
133.285,um,Spot,Distance from Origin,1,105,
128.49,um,Spot,Distance from Origin,1,106,
111.064,um,Spot,Distance from Origin,1,107,
114.55,um,Spot,Distance from Origin,1,108,
121.971,um,Spot,Distance from Origin,1,109,
131.337,um,Spot,Distance from Origin,1,110,
107.891,um,Spot,Distance from Origin,1,111,
88.8267,um,Spot,Distance from Origin,1,122,
96.0001,um,Spot,Distance from Origin,1,125,
94.4001,um,Spot,Distance from Origin,1,128,
93.7626,um,Spot,Distance from Origin,1,130,
100.167,um,Spot,Distance from Origin,1,131,
103.182,um,Spot,Distance from Origin,1,132,
109.216,um,Spot,Distance from Origin,1,133,
108.531,um,Spot,Distance from Origin,1,134,
97.4096,um,Spot,Distance from Origin,1,135,
100.062,um,Spot,Distance from Origin,1,136,
97.8067,um,Spot,Distance from Origin,1,137,
89.5485,um,Spot,Distance from Origin,1,138,
105.272,um,Spot,Distance from Origin,1,139,
89.2234,um,Spot,Distance from Origin,1,140,
110.358,um,Spot,Distance from Origin,1,141,
105.412,um,Spot,Distance from Origin,1,142,
93.8099,um,Spot,Distance from Origin,1,143,
112.394,um,Spot,Distance from Origin,1,144,
116.556,um,Spot,Distance from Origin,1,145,
118.434,um,Spot,Distance from Origin,1,146,
122.627,um,Spot,Distance from Origin,1,147,
108.491,um,Spot,Distance from Origin,1,150,
109.864,um,Spot,Distance from Origin,1,151,
114.122,um,Spot,Distance from Origin,1,152,
102.29,um,Spot,Distance from Origin,1,154,
124.926,um,Spot,Distance from Origin,1,155,
133.189,um,Spot,Distance from Origin,1,156,
116.012,um,Spot,Distance from Origin,1,157,
104.304,um,Spot,Distance from Origin,1,158,
110.085,um,Spot,Distance from Origin,1,159,
120.929,um,Spot,Distance from Origin,1,160,
127.689,um,Spot,Distance from Origin,1,161,
145.322,um,Spot,Distance from Origin,1,162,
144.691,um,Spot,Distance from Origin,1,163,
155.198,um,Spot,Distance from Origin,1,164,
133.374,um,Spot,Distance from Origin,1,167,
134.884,um,Spot,Distance from Origin,1,168,
141.617,um,Spot,Distance from Origin,1,169,
129.095,um,Spot,Distance from Origin,1,170,
143.436,um,Spot,Distance from Origin,1,171,
137.696,um,Spot,Distance from Origin,1,172,
134.247,um,Spot,Distance from Origin,1,173,
139.757,um,Spot,Distance from Origin,1,174,
152.312,um,Spot,Distance from Origin,1,175,
71.858,um,Spot,Distance from Origin,1,233,
70.0339,um,Spot,Distance from Origin,1,234,
93.7589,um,Spot,Distance from Origin,1,238,
84.3654,um,Spot,Distance from Origin,1,240,
95.225,um,Spot,Distance from Origin,1,246,
106.377,um,Spot,Distance from Origin,1,247,
112.873,um,Spot,Distance from Origin,1,248,
121.859,um,Spot,Distance from Origin,1,253,
77.7474,um,Spot,Distance from Origin,1,262,
82.9683,um,Spot,Distance from Origin,1,263,
70.7726,um,Spot,Distance from Origin,1,264,
75.7714,um,Spot,Distance from Origin,1,267,
88.0111,um,Spot,Distance from Origin,1,269,
76.2943,um,Spot,Distance from Origin,1,270,
83.7772,um,Spot,Distance from Origin,1,271,
75.4663,um,Spot,Distance from Origin,1,273,
73.1067,um,Spot,Distance from Origin,1,274,
84.0026,um,Spot,Distance from Origin,1,275,
102.403,um,Spot,Distance from Origin,1,276,
105.942,um,Spot,Distance from Origin,1,277,
112.652,um,Spot,Distance from Origin,1,278,
90.4975,um,Spot,Distance from Origin,1,279,
103.632,um,Spot,Distance from Origin,1,280,
114.661,um,Spot,Distance from Origin,1,281,
128.254,um,Spot,Distance from Origin,1,282,
121.914,um,Spot,Distance from Origin,1,283,
126.464,um,Spot,Distance from Origin,1,284,
125.633,um,Spot,Distance from Origin,1,285,
119.555,um,Spot,Distance from Origin,1,286,
137.239,um,Spot,Distance from Origin,1,288,
132.814,um,Spot,Distance from Origin,1,292,
86.4509,um,Spot,Distance from Origin,1,294,
102.579,um,Spot,Distance from Origin,1,296,
106.288,um,Spot,Distance from Origin,1,297,
97.9876,um,Spot,Distance from Origin,1,298,
101.033,um,Spot,Distance from Origin,1,299,
92.8528,um,Spot,Distance from Origin,1,300,
98.1613,um,Spot,Distance from Origin,1,301,
99.6701,um,Spot,Distance from Origin,1,302,
90.3115,um,Spot,Distance from Origin,1,303,
102.768,um,Spot,Distance from Origin,1,304,
126.984,um,Spot,Distance from Origin,1,306,
132.05,um,Spot,Distance from Origin,1,308,
112.885,um,Spot,Distance from Origin,1,309,
116.502,um,Spot,Distance from Origin,1,310,
123.256,um,Spot,Distance from Origin,1,311,
150.286,um,Spot,Distance from Origin,1,312,
133.832,um,Spot,Distance from Origin,1,313,
144.767,um,Spot,Distance from Origin,1,314,
143.127,um,Spot,Distance from Origin,1,315,
135.036,um,Spot,Distance from Origin,1,316,
150.388,um,Spot,Distance from Origin,1,317,
145.215,um,Spot,Distance from Origin,1,318,
150.669,um,Spot,Distance from Origin,1,320,
144.112,um,Spot,Distance from Origin,1,321,
147.392,um,Spot,Distance from Origin,1,322,
94.586,um,Spot,Distance from Origin,1,366,
122.433,um,Spot,Distance from Origin,1,374,
114.064,um,Spot,Distance from Origin,1,376,
