
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Spot,Image 1,1,3,
0,um,Spot,Image 1,1,15,
0.22735,um,Spot,Image 1,1,18,
0,um,Spot,Image 1,1,40,
0,um,Spot,Image 1,1,41,
1.46407,um,Spot,Image 1,1,44,
0,um,Spot,Image 1,1,63,
0,um,Spot,Image 1,1,64,
0,um,Spot,Image 1,1,66,
0,um,Spot,Image 1,1,70,
2.2006,um,Spot,Image 1,1,73,
3.06351,um,Spot,Image 1,1,74,
3.42654,um,Spot,Image 1,1,76,
5.06823,um,Spot,Image 1,1,80,
0,um,Spot,Image 1,1,81,
0,um,Spot,Image 1,1,82,
0,um,Spot,Image 1,1,83,
0,um,Spot,Image 1,1,84,
1.19388,um,Spot,Image 1,1,85,
3.21621,um,Spot,Image 1,1,86,
3.58452,um,Spot,Image 1,1,87,
3.40917,um,Spot,Image 1,1,88,
3.81554,um,Spot,Image 1,1,90,
0,um,Spot,Image 1,1,91,
0,um,Spot,Image 1,1,92,
0,um,Spot,Image 1,1,93,
0,um,Spot,Image 1,1,94,
0.222274,um,Spot,Image 1,1,95,
0.681403,um,Spot,Image 1,1,96,
0.561947,um,Spot,Image 1,1,97,
1.6156,um,Spot,Image 1,1,98,
3.51747,um,Spot,Image 1,1,99,
3.32853,um,Spot,Image 1,1,100,
4.52627,um,Spot,Image 1,1,101,
4.27281,um,Spot,Image 1,1,102,
0,um,Spot,Image 1,1,103,
0,um,Spot,Image 1,1,104,
0,um,Spot,Image 1,1,105,
0,um,Spot,Image 1,1,106,
0,um,Spot,Image 1,1,107,
0,um,Spot,Image 1,1,108,
0.631953,um,Spot,Image 1,1,109,
1.18299,um,Spot,Image 1,1,110,
3.37997,um,Spot,Image 1,1,111,
0,um,Spot,Image 1,1,122,
0,um,Spot,Image 1,1,125,
0,um,Spot,Image 1,1,128,
0,um,Spot,Image 1,1,130,
0,um,Spot,Image 1,1,131,
0,um,Spot,Image 1,1,132,
0,um,Spot,Image 1,1,133,
0,um,Spot,Image 1,1,134,
0,um,Spot,Image 1,1,135,
0,um,Spot,Image 1,1,136,
0.894475,um,Spot,Image 1,1,137,
2.65143,um,Spot,Image 1,1,138,
2.85648,um,Spot,Image 1,1,139,
4.20411,um,Spot,Image 1,1,140,
3.97442,um,Spot,Image 1,1,141,
4.52028,um,Spot,Image 1,1,142,
4.86077,um,Spot,Image 1,1,143,
4.88644,um,Spot,Image 1,1,144,
0,um,Spot,Image 1,1,145,
0,um,Spot,Image 1,1,146,
0,um,Spot,Image 1,1,147,
0,um,Spot,Image 1,1,150,
0,um,Spot,Image 1,1,151,
0,um,Spot,Image 1,1,152,
1.51645,um,Spot,Image 1,1,154,
3.54661,um,Spot,Image 1,1,155,
3.41526,um,Spot,Image 1,1,156,
3.74236,um,Spot,Image 1,1,157,
4.35769,um,Spot,Image 1,1,158,
4.60122,um,Spot,Image 1,1,159,
0,um,Spot,Image 1,1,160,
0,um,Spot,Image 1,1,161,
0,um,Spot,Image 1,1,162,
0,um,Spot,Image 1,1,163,
0,um,Spot,Image 1,1,164,
0,um,Spot,Image 1,1,167,
0,um,Spot,Image 1,1,168,
0.144236,um,Spot,Image 1,1,169,
0.431294,um,Spot,Image 1,1,170,
