
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
20.4405,um,Spot,Image 1,1,3,
16.8616,um,Spot,Image 1,1,15,
19.896,um,Spot,Image 1,1,18,
23.6089,um,Spot,Image 1,1,40,
22.0666,um,Spot,Image 1,1,41,
18.8454,um,Spot,Image 1,1,44,
17.9418,um,Spot,Image 1,1,63,
24.3985,um,Spot,Image 1,1,64,
17.9181,um,Spot,Image 1,1,66,
16.437,um,Spot,Image 1,1,70,
17.6057,um,Spot,Image 1,1,73,
25.5658,um,Spot,Image 1,1,74,
18.0316,um,Spot,Image 1,1,76,
21.6933,um,Spot,Image 1,1,80,
28.1187,um,Spot,Image 1,1,81,
39.2211,um,Spot,Image 1,1,82,
31.7691,um,Spot,Image 1,1,83,
33.2835,um,Spot,Image 1,1,84,
36.1581,um,Spot,Image 1,1,85,
28.1973,um,Spot,Image 1,1,86,
28.7912,um,Spot,Image 1,1,87,
28.8897,um,Spot,Image 1,1,88,
40.159,um,Spot,Image 1,1,90,
39.3203,um,Spot,Image 1,1,91,
39.397,um,Spot,Image 1,1,92,
43.4457,um,Spot,Image 1,1,93,
26.6277,um,Spot,Image 1,1,94,
40.4576,um,Spot,Image 1,1,95,
39.433,um,Spot,Image 1,1,96,
41.7563,um,Spot,Image 1,1,97,
29.336,um,Spot,Image 1,1,98,
26.3113,um,Spot,Image 1,1,99,
35.8191,um,Spot,Image 1,1,100,
44.1577,um,Spot,Image 1,1,101,
42.1455,um,Spot,Image 1,1,102,
27.4293,um,Spot,Image 1,1,103,
30.1027,um,Spot,Image 1,1,104,
19.8048,um,Spot,Image 1,1,105,
18.2062,um,Spot,Image 1,1,106,
37.4616,um,Spot,Image 1,1,107,
29.8158,um,Spot,Image 1,1,108,
34.3986,um,Spot,Image 1,1,109,
25.1809,um,Spot,Image 1,1,110,
27.3023,um,Spot,Image 1,1,111,
24.4037,um,Spot,Image 1,1,122,
17.3176,um,Spot,Image 1,1,125,
23.8389,um,Spot,Image 1,1,128,
30.831,um,Spot,Image 1,1,130,
28.5889,um,Spot,Image 1,1,131,
23.6247,um,Spot,Image 1,1,132,
20.8933,um,Spot,Image 1,1,133,
16.7769,um,Spot,Image 1,1,134,
36.5277,um,Spot,Image 1,1,135,
23.6298,um,Spot,Image 1,1,136,
37.677,um,Spot,Image 1,1,137,
28.8132,um,Spot,Image 1,1,138,
22.6787,um,Spot,Image 1,1,139,
33.5205,um,Spot,Image 1,1,140,
24.7524,um,Spot,Image 1,1,141,
27.071,um,Spot,Image 1,1,142,
