
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
11456,,Spot,2,Image 1,1,3,
2502,,Spot,2,Image 1,1,15,
1917,,Spot,2,Image 1,1,18,
3234,,Spot,2,Image 1,1,40,
2425,,Spot,2,Image 1,1,41,
3649,,Spot,2,Image 1,1,44,
10021,,Spot,2,Image 1,1,63,
860,,Spot,2,Image 1,1,64,
2531,,Spot,2,Image 1,1,66,
2587,,Spot,2,Image 1,1,70,
4798,,Spot,2,Image 1,1,73,
3279,,Spot,2,Image 1,1,74,
3033,,Spot,2,Image 1,1,76,
2548,,Spot,2,Image 1,1,80,
1984,,Spot,2,Image 1,1,81,
2611,,Spot,2,Image 1,1,82,
5546,,Spot,2,Image 1,1,83,
2238,,Spot,2,Image 1,1,84,
1996,,Spot,2,Image 1,1,85,
2463,,Spot,2,Image 1,1,86,
3977,,Spot,2,Image 1,1,87,
4797,,Spot,2,Image 1,1,88,
3332,,Spot,2,Image 1,1,90,
1807,,Spot,2,Image 1,1,91,
1810,,Spot,2,Image 1,1,92,
3842,,Spot,2,Image 1,1,93,
3426,,Spot,2,Image 1,1,94,
2759,,Spot,2,Image 1,1,95,
1812,,Spot,2,Image 1,1,96,
2147,,Spot,2,Image 1,1,97,
3700,,Spot,2,Image 1,1,98,
1444,,Spot,2,Image 1,1,99,
8459,,Spot,2,Image 1,1,100,
1616,,Spot,2,Image 1,1,101,
1671,,Spot,2,Image 1,1,102,
3613,,Spot,2,Image 1,1,103,
4512,,Spot,2,Image 1,1,104,
2300,,Spot,2,Image 1,1,105,
1250,,Spot,2,Image 1,1,106,
6363,,Spot,2,Image 1,1,107,
6582,,Spot,2,Image 1,1,108,
1190,,Spot,2,Image 1,1,109,
2982,,Spot,2,Image 1,1,110,
3519,,Spot,2,Image 1,1,111,
5282,,Spot,2,Image 1,1,122,
1628,,Spot,2,Image 1,1,125,
2926,,Spot,2,Image 1,1,128,
5944,,Spot,2,Image 1,1,130,
2219,,Spot,2,Image 1,1,131,
2771,,Spot,2,Image 1,1,132,
2140,,Spot,2,Image 1,1,133,
1941,,Spot,2,Image 1,1,134,
2497,,Spot,2,Image 1,1,135,
2548,,Spot,2,Image 1,1,136,
2761,,Spot,2,Image 1,1,137,
3996,,Spot,2,Image 1,1,138,
3007,,Spot,2,Image 1,1,139,
2098,,Spot,2,Image 1,1,140,
3282,,Spot,2,Image 1,1,141,
4482,,Spot,2,Image 1,1,142,
10232,,Spot,2,Image 1,1,143,
2704,,Spot,2,Image 1,1,144,
1057,,Spot,2,Image 1,1,145,
3540,,Spot,2,Image 1,1,146,
2884,,Spot,2,Image 1,1,147,
3522,,Spot,2,Image 1,1,150,
4040,,Spot,2,Image 1,1,151,
2824,,Spot,2,Image 1,1,152,
2617,,Spot,2,Image 1,1,154,
2002,,Spot,2,Image 1,1,155,
3545,,Spot,2,Image 1,1,156,
4046,,Spot,2,Image 1,1,157,
4433,,Spot,2,Image 1,1,158,
4519,,Spot,2,Image 1,1,159,
2057,,Spot,2,Image 1,1,160,
2202,,Spot,2,Image 1,1,161,
2212,,Spot,2,Image 1,1,162,
1019,,Spot,2,Image 1,1,163,
1664,,Spot,2,Image 1,1,164,
2270,,Spot,2,Image 1,1,167,
2517,,Spot,2,Image 1,1,168,
2353,,Spot,2,Image 1,1,169,
2656,,Spot,2,Image 1,1,170,
2282,,Spot,2,Image 1,1,171,
2483,,Spot,2,Image 1,1,172,
5681,,Spot,2,Image 1,1,173,
2705,,Spot,2,Image 1,1,174,
1473,,Spot,2,Image 1,1,175,
2060,,Spot,2,Image 1,1,233,
5574,,Spot,2,Image 1,1,234,
3421,,Spot,2,Image 1,1,238,
476,,Spot,2,Image 1,1,240,
5356,,Spot,2,Image 1,1,246,
3637,,Spot,2,Image 1,1,247,
2267,,Spot,2,Image 1,1,248,
3354,,Spot,2,Image 1,1,253,
3372,,Spot,2,Image 1,1,262,
2349,,Spot,2,Image 1,1,263,
3227,,Spot,2,Image 1,1,264,
3468,,Spot,2,Image 1,1,267,
5150,,Spot,2,Image 1,1,269,
3723,,Spot,2,Image 1,1,270,
3461,,Spot,2,Image 1,1,271,
