
Intensity Max Ch=6 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
12548,,Spot,6,Image 1,1,3,
7463,,Spot,6,Image 1,1,15,
4680,,Spot,6,Image 1,1,18,
7814,,Spot,6,Image 1,1,40,
4560,,Spot,6,Image 1,1,41,
6275,,Spot,6,Image 1,1,44,
11410,,Spot,6,Image 1,1,63,
5461,,Spot,6,Image 1,1,64,
6425,,Spot,6,Image 1,1,66,
5446,,Spot,6,Image 1,1,70,
6214,,Spot,6,Image 1,1,73,
5798,,Spot,6,Image 1,1,74,
6537,,Spot,6,Image 1,1,76,
6745,,Spot,6,Image 1,1,80,
4925,,Spot,6,Image 1,1,81,
5376,,Spot,6,Image 1,1,82,
6235,,Spot,6,Image 1,1,83,
7210,,Spot,6,Image 1,1,84,
7210,,Spot,6,Image 1,1,85,
5061,,Spot,6,Image 1,1,86,
5777,,Spot,6,Image 1,1,87,
5195,,Spot,6,Image 1,1,88,
6566,,Spot,6,Image 1,1,90,
5083,,Spot,6,Image 1,1,91,
5180,,Spot,6,Image 1,1,92,
5283,,Spot,6,Image 1,1,93,
6256,,Spot,6,Image 1,1,94,
4811,,Spot,6,Image 1,1,95,
5359,,Spot,6,Image 1,1,96,
4745,,Spot,6,Image 1,1,97,
6443,,Spot,6,Image 1,1,98,
3790,,Spot,6,Image 1,1,99,
10190,,Spot,6,Image 1,1,100,
4152,,Spot,6,Image 1,1,101,
5183,,Spot,6,Image 1,1,102,
6958,,Spot,6,Image 1,1,103,
7888,,Spot,6,Image 1,1,104,
4618,,Spot,6,Image 1,1,105,
4619,,Spot,6,Image 1,1,106,
6979,,Spot,6,Image 1,1,107,
7072,,Spot,6,Image 1,1,108,
3884,,Spot,6,Image 1,1,109,
5898,,Spot,6,Image 1,1,110,
5002,,Spot,6,Image 1,1,111,
6048,,Spot,6,Image 1,1,122,
4217,,Spot,6,Image 1,1,125,
5905,,Spot,6,Image 1,1,128,
7922,,Spot,6,Image 1,1,130,
5474,,Spot,6,Image 1,1,131,
7063,,Spot,6,Image 1,1,132,
6381,,Spot,6,Image 1,1,133,
5939,,Spot,6,Image 1,1,134,
5203,,Spot,6,Image 1,1,135,
5369,,Spot,6,Image 1,1,136,
4778,,Spot,6,Image 1,1,137,
6104,,Spot,6,Image 1,1,138,
6480,,Spot,6,Image 1,1,139,
5919,,Spot,6,Image 1,1,140,
6740,,Spot,6,Image 1,1,141,
6037,,Spot,6,Image 1,1,142,
12581,,Spot,6,Image 1,1,143,
4304,,Spot,6,Image 1,1,144,
4381,,Spot,6,Image 1,1,145,
4751,,Spot,6,Image 1,1,146,
5475,,Spot,6,Image 1,1,147,
5289,,Spot,6,Image 1,1,150,
6297,,Spot,6,Image 1,1,151,
6036,,Spot,6,Image 1,1,152,
4513,,Spot,6,Image 1,1,154,
4461,,Spot,6,Image 1,1,155,
4862,,Spot,6,Image 1,1,156,
7112,,Spot,6,Image 1,1,157,
5960,,Spot,6,Image 1,1,158,
7220,,Spot,6,Image 1,1,159,
4331,,Spot,6,Image 1,1,160,
5665,,Spot,6,Image 1,1,161,
4350,,Spot,6,Image 1,1,162,
3822,,Spot,6,Image 1,1,163,
4732,,Spot,6,Image 1,1,164,
4565,,Spot,6,Image 1,1,167,
5628,,Spot,6,Image 1,1,168,
4397,,Spot,6,Image 1,1,169,
5602,,Spot,6,Image 1,1,170,
4470,,Spot,6,Image 1,1,171,
5819,,Spot,6,Image 1,1,172,
5681,,Spot,6,Image 1,1,173,
5974,,Spot,6,Image 1,1,174,
3886,,Spot,6,Image 1,1,175,
5080,,Spot,6,Image 1,1,233,
5704,,Spot,6,Image 1,1,234,
5390,,Spot,6,Image 1,1,238,
4652,,Spot,6,Image 1,1,240,
7816,,Spot,6,Image 1,1,246,
5817,,Spot,6,Image 1,1,247,
3822,,Spot,6,Image 1,1,248,
4422,,Spot,6,Image 1,1,253,
5256,,Spot,6,Image 1,1,262,
5900,,Spot,6,Image 1,1,263,
4973,,Spot,6,Image 1,1,264,
6371,,Spot,6,Image 1,1,267,
8219,,Spot,6,Image 1,1,269,
7855,,Spot,6,Image 1,1,270,
6508,,Spot,6,Image 1,1,271,
6715,,Spot,6,Image 1,1,273,
8276,,Spot,6,Image 1,1,274,
5969,,Spot,6,Image 1,1,275,
6732,,Spot,6,Image 1,1,276,
4191,,Spot,6,Image 1,1,277,
5349,,Spot,6,Image 1,1,278,
5467,,Spot,6,Image 1,1,279,
6766,,Spot,6,Image 1,1,280,
5359,,Spot,6,Image 1,1,281,
4704,,Spot,6,Image 1,1,282,
4400,,Spot,6,Image 1,1,283,
7957,,Spot,6,Image 1,1,284,
4173,,Spot,6,Image 1,1,285,
5654,,Spot,6,Image 1,1,286,
6608,,Spot,6,Image 1,1,288,
7794,,Spot,6,Image 1,1,292,
5215,,Spot,6,Image 1,1,294,
5367,,Spot,6,Image 1,1,296,
5104,,Spot,6,Image 1,1,297,
6523,,Spot,6,Image 1,1,298,
5322,,Spot,6,Image 1,1,299,
4807,,Spot,6,Image 1,1,300,
6013,,Spot,6,Image 1,1,301,
6385,,Spot,6,Image 1,1,302,
5795,,Spot,6,Image 1,1,303,
4746,,Spot,6,Image 1,1,304,
5791,,Spot,6,Image 1,1,306,
6278,,Spot,6,Image 1,1,308,
4490,,Spot,6,Image 1,1,309,
6518,,Spot,6,Image 1,1,310,
5525,,Spot,6,Image 1,1,311,
3744,,Spot,6,Image 1,1,312,
5219,,Spot,6,Image 1,1,313,
4077,,Spot,6,Image 1,1,314,
4390,,Spot,6,Image 1,1,315,
4495,,Spot,6,Image 1,1,316,
3690,,Spot,6,Image 1,1,317,
4205,,Spot,6,Image 1,1,318,
4134,,Spot,6,Image 1,1,320,
3890,,Spot,6,Image 1,1,321,
6414,,Spot,6,Image 1,1,322,
6554,,Spot,6,Image 1,1,366,
4809,,Spot,6,Image 1,1,374,
6901,,Spot,6,Image 1,1,376,
6693,,Spot,6,Image 1,1,389,
9081,,Spot,6,Image 1,1,390,
5813,,Spot,6,Image 1,1,391,
6867,,Spot,6,Image 1,1,392,
6048,,Spot,6,Image 1,1,393,
6484,,Spot,6,Image 1,1,394,
6368,,Spot,6,Image 1,1,395,
5832,,Spot,6,Image 1,1,396,
5731,,Spot,6,Image 1,1,398,
7433,,Spot,6,Image 1,1,399,
7268,,Spot,6,Image 1,1,400,
5553,,Spot,6,Image 1,1,401,
5951,,Spot,6,Image 1,1,402,
7508,,Spot,6,Image 1,1,403,
7083,,Spot,6,Image 1,1,404,
6789,,Spot,6,Image 1,1,405,
5812,,Spot,6,Image 1,1,406,
5315,,Spot,6,Image 1,1,407,
6851,,Spot,6,Image 1,1,408,
4767,,Spot,6,Image 1,1,409,
7875,,Spot,6,Image 1,1,410,
6081,,Spot,6,Image 1,1,411,
7376,,Spot,6,Image 1,1,412,
4802,,Spot,6,Image 1,1,413,
9338,,Spot,6,Image 1,1,414,
5508,,Spot,6,Image 1,1,416,
5904,,Spot,6,Image 1,1,421,
5810,,Spot,6,Image 1,1,423,
5507,,Spot,6,Image 1,1,425,
9445,,Spot,6,Image 1,1,426,
