
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3285.92,,Spot,2,Image 1,1,3,
2746.99,,Spot,2,Image 1,1,15,
1503.85,,Spot,2,Image 1,1,18,
2784,,Spot,2,Image 1,1,40,
1313.62,,Spot,2,Image 1,1,41,
3065.62,,Spot,2,Image 1,1,44,
2346.76,,Spot,2,Image 1,1,63,
1792.97,,Spot,2,Image 1,1,64,
2333.09,,Spot,2,Image 1,1,66,
2541.08,,Spot,2,Image 1,1,70,
2151.66,,Spot,2,Image 1,1,73,
2363.17,,Spot,2,Image 1,1,74,
2563.66,,Spot,2,Image 1,1,76,
2255.09,,Spot,2,Image 1,1,80,
1935.62,,Spot,2,Image 1,1,81,
2226.16,,Spot,2,Image 1,1,82,
2740.03,,Spot,2,Image 1,1,83,
2847.53,,Spot,2,Image 1,1,84,
2702.17,,Spot,2,Image 1,1,85,
2042.49,,Spot,2,Image 1,1,86,
2880.67,,Spot,2,Image 1,1,87,
2490.91,,Spot,2,Image 1,1,88,
2538.35,,Spot,2,Image 1,1,90,
1629.09,,Spot,2,Image 1,1,91,
1276.67,,Spot,2,Image 1,1,92,
1263.9,,Spot,2,Image 1,1,93,
3037.44,,Spot,2,Image 1,1,94,
2112.11,,Spot,2,Image 1,1,95,
2157.63,,Spot,2,Image 1,1,96,
1410.05,,Spot,2,Image 1,1,97,
3282.37,,Spot,2,Image 1,1,98,
1572.36,,Spot,2,Image 1,1,99,
3167.12,,Spot,2,Image 1,1,100,
1391.86,,Spot,2,Image 1,1,101,
1729.44,,Spot,2,Image 1,1,102,
2896.61,,Spot,2,Image 1,1,103,
3602.6,,Spot,2,Image 1,1,104,
1615.65,,Spot,2,Image 1,1,105,
1211.81,,Spot,2,Image 1,1,106,
3514.45,,Spot,2,Image 1,1,107,
3429.37,,Spot,2,Image 1,1,108,
1375.33,,Spot,2,Image 1,1,109,
2262.3,,Spot,2,Image 1,1,110,
1853.59,,Spot,2,Image 1,1,111,
2047.24,,Spot,2,Image 1,1,122,
1332.44,,Spot,2,Image 1,1,125,
2883.51,,Spot,2,Image 1,1,128,
1982.19,,Spot,2,Image 1,1,130,
2422.64,,Spot,2,Image 1,1,131,
2745.54,,Spot,2,Image 1,1,132,
2144.18,,Spot,2,Image 1,1,133,
1848.61,,Spot,2,Image 1,1,134,
1843.06,,Spot,2,Image 1,1,135,
2220.51,,Spot,2,Image 1,1,136,
1724.62,,Spot,2,Image 1,1,137,
2223.31,,Spot,2,Image 1,1,138,
2484.43,,Spot,2,Image 1,1,139,
2574.81,,Spot,2,Image 1,1,140,
3122.62,,Spot,2,Image 1,1,141,
2651.77,,Spot,2,Image 1,1,142,
2977.28,,Spot,2,Image 1,1,143,
1580.21,,Spot,2,Image 1,1,144,
1871.26,,Spot,2,Image 1,1,145,
1869.52,,Spot,2,Image 1,1,146,
2377.94,,Spot,2,Image 1,1,147,
2399.55,,Spot,2,Image 1,1,150,
3061.29,,Spot,2,Image 1,1,151,
3006.04,,Spot,2,Image 1,1,152,
1593.5,,Spot,2,Image 1,1,154,
1770.88,,Spot,2,Image 1,1,155,
1640.73,,Spot,2,Image 1,1,156,
3317.88,,Spot,2,Image 1,1,157,
2445.04,,Spot,2,Image 1,1,158,
3530.73,,Spot,2,Image 1,1,159,
1866.84,,Spot,2,Image 1,1,160,
2149.83,,Spot,2,Image 1,1,161,
1676.31,,Spot,2,Image 1,1,162,
1341.82,,Spot,2,Image 1,1,163,
1384.69,,Spot,2,Image 1,1,164,
1682.06,,Spot,2,Image 1,1,167,
2263.73,,Spot,2,Image 1,1,168,
1820.26,,Spot,2,Image 1,1,169,
2249.68,,Spot,2,Image 1,1,170,
1603.98,,Spot,2,Image 1,1,171,
2319.37,,Spot,2,Image 1,1,172,
2185.52,,Spot,2,Image 1,1,173,
2845.02,,Spot,2,Image 1,1,174,
1633.26,,Spot,2,Image 1,1,175,
1973.78,,Spot,2,Image 1,1,233,
2759.9,,Spot,2,Image 1,1,234,
2284.44,,Spot,2,Image 1,1,238,
1845.48,,Spot,2,Image 1,1,240,
4097.91,,Spot,2,Image 1,1,246,
2582.39,,Spot,2,Image 1,1,247,
1380.95,,Spot,2,Image 1,1,248,
2066.63,,Spot,2,Image 1,1,253,
2247.38,,Spot,2,Image 1,1,262,
1958.37,,Spot,2,Image 1,1,263,
2224.8,,Spot,2,Image 1,1,264,
3082.56,,Spot,2,Image 1,1,267,
2815.97,,Spot,2,Image 1,1,269,
3131.71,,Spot,2,Image 1,1,270,
2885.47,,Spot,2,Image 1,1,271,
3128.41,,Spot,2,Image 1,1,273,
4185.24,,Spot,2,Image 1,1,274,
2360.87,,Spot,2,Image 1,1,275,
3393.66,,Spot,2,Image 1,1,276,
1789.6,,Spot,2,Image 1,1,277,
1596.11,,Spot,2,Image 1,1,278,
2504.54,,Spot,2,Image 1,1,279,
3670.29,,Spot,2,Image 1,1,280,
2600.15,,Spot,2,Image 1,1,281,
2082.13,,Spot,2,Image 1,1,282,
1621.58,,Spot,2,Image 1,1,283,
2682.92,,Spot,2,Image 1,1,284,
1817.55,,Spot,2,Image 1,1,285,
2284.5,,Spot,2,Image 1,1,286,
3090.45,,Spot,2,Image 1,1,288,
2572.88,,Spot,2,Image 1,1,292,
2192.62,,Spot,2,Image 1,1,294,
2207.95,,Spot,2,Image 1,1,296,
2280.94,,Spot,2,Image 1,1,297,
2713.83,,Spot,2,Image 1,1,298,
2279.72,,Spot,2,Image 1,1,299,
2140.16,,Spot,2,Image 1,1,300,
2850.91,,Spot,2,Image 1,1,301,
2544.21,,Spot,2,Image 1,1,302,
2752.09,,Spot,2,Image 1,1,303,
1806.33,,Spot,2,Image 1,1,304,
2490.22,,Spot,2,Image 1,1,306,
2480.67,,Spot,2,Image 1,1,308,
1843.8,,Spot,2,Image 1,1,309,
3160.96,,Spot,2,Image 1,1,310,
2311.89,,Spot,2,Image 1,1,311,
1325.83,,Spot,2,Image 1,1,312,
1808.98,,Spot,2,Image 1,1,313,
1412.31,,Spot,2,Image 1,1,314,
1646.22,,Spot,2,Image 1,1,315,
1700.49,,Spot,2,Image 1,1,316,
1599.46,,Spot,2,Image 1,1,317,
1546.93,,Spot,2,Image 1,1,318,
1477.04,,Spot,2,Image 1,1,320,
1524.64,,Spot,2,Image 1,1,321,
2368.05,,Spot,2,Image 1,1,322,
3341.24,,Spot,2,Image 1,1,366,
2208.22,,Spot,2,Image 1,1,374,
2835.09,,Spot,2,Image 1,1,376,
2431.03,,Spot,2,Image 1,1,389,
4129.79,,Spot,2,Image 1,1,390,
2709,,Spot,2,Image 1,1,391,
3216.85,,Spot,2,Image 1,1,392,
2900.37,,Spot,2,Image 1,1,393,
2998.1,,Spot,2,Image 1,1,394,
