
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
3334.73,,Spot,1,Image 1,1,3,
804.72,,Spot,1,Image 1,1,15,
704.836,,Spot,1,Image 1,1,18,
843.672,,Spot,1,Image 1,1,40,
756,,Spot,1,Image 1,1,41,
713.32,,Spot,1,Image 1,1,44,
3486,,Spot,1,Image 1,1,63,
927.216,,Spot,1,Image 1,1,64,
1401.76,,Spot,1,Image 1,1,66,
768.4,,Spot,1,Image 1,1,70,
1098.49,,Spot,1,Image 1,1,73,
1026.41,,Spot,1,Image 1,1,74,
549.992,,Spot,1,Image 1,1,76,
604.456,,Spot,1,Image 1,1,80,
869.504,,Spot,1,Image 1,1,81,
949.196,,Spot,1,Image 1,1,82,
1333.07,,Spot,1,Image 1,1,83,
1238.58,,Spot,1,Image 1,1,84,
906.64,,Spot,1,Image 1,1,85,
786.622,,Spot,1,Image 1,1,86,
826.62,,Spot,1,Image 1,1,87,
863.872,,Spot,1,Image 1,1,88,
548.424,,Spot,1,Image 1,1,90,
2258.13,,Spot,1,Image 1,1,91,
1565.79,,Spot,1,Image 1,1,92,
378.138,,Spot,1,Image 1,1,93,
918.328,,Spot,1,Image 1,1,94,
749.052,,Spot,1,Image 1,1,95,
825.556,,Spot,1,Image 1,1,96,
540.656,,Spot,1,Image 1,1,97,
1028.15,,Spot,1,Image 1,1,98,
689.78,,Spot,1,Image 1,1,99,
2120.07,,Spot,1,Image 1,1,100,
627.768,,Spot,1,Image 1,1,101,
624.94,,Spot,1,Image 1,1,102,
654.32,,Spot,1,Image 1,1,103,
1001.12,,Spot,1,Image 1,1,104,
454.96,,Spot,1,Image 1,1,105,
509.472,,Spot,1,Image 1,1,106,
1045.07,,Spot,1,Image 1,1,107,
1116.64,,Spot,1,Image 1,1,108,
311.58,,Spot,1,Image 1,1,109,
732.08,,Spot,1,Image 1,1,110,
503.344,,Spot,1,Image 1,1,111,
950.724,,Spot,1,Image 1,1,122,
838.096,,Spot,1,Image 1,1,125,
699.384,,Spot,1,Image 1,1,128,
2590.51,,Spot,1,Image 1,1,130,
1015.66,,Spot,1,Image 1,1,131,
1070.79,,Spot,1,Image 1,1,132,
1321.87,,Spot,1,Image 1,1,133,
891.392,,Spot,1,Image 1,1,134,
1137.97,,Spot,1,Image 1,1,135,
813.292,,Spot,1,Image 1,1,136,
708.648,,Spot,1,Image 1,1,137,
813.48,,Spot,1,Image 1,1,138,
729.802,,Spot,1,Image 1,1,139,
652.696,,Spot,1,Image 1,1,140,
1081.81,,Spot,1,Image 1,1,141,
797.85,,Spot,1,Image 1,1,142,
2771.92,,Spot,1,Image 1,1,143,
756.12,,Spot,1,Image 1,1,144,
571.576,,Spot,1,Image 1,1,145,
596.984,,Spot,1,Image 1,1,146,
1253.15,,Spot,1,Image 1,1,147,
633.032,,Spot,1,Image 1,1,150,
809.316,,Spot,1,Image 1,1,151,
1047.73,,Spot,1,Image 1,1,152,
618.738,,Spot,1,Image 1,1,154,
598.968,,Spot,1,Image 1,1,155,
765.176,,Spot,1,Image 1,1,156,
961.36,,Spot,1,Image 1,1,157,
1085.44,,Spot,1,Image 1,1,158,
797.04,,Spot,1,Image 1,1,159,
707.13,,Spot,1,Image 1,1,160,
691.632,,Spot,1,Image 1,1,161,
595.108,,Spot,1,Image 1,1,162,
717.372,,Spot,1,Image 1,1,163,
975.136,,Spot,1,Image 1,1,164,
629.752,,Spot,1,Image 1,1,167,
1046.53,,Spot,1,Image 1,1,168,
659.144,,Spot,1,Image 1,1,169,
868.328,,Spot,1,Image 1,1,170,
559.272,,Spot,1,Image 1,1,171,
664.12,,Spot,1,Image 1,1,172,
743.984,,Spot,1,Image 1,1,173,
591.584,,Spot,1,Image 1,1,174,
673.76,,Spot,1,Image 1,1,175,
482.312,,Spot,1,Image 1,1,233,
720.872,,Spot,1,Image 1,1,234,
812.648,,Spot,1,Image 1,1,238,
527.512,,Spot,1,Image 1,1,240,
868.44,,Spot,1,Image 1,1,246,
620.576,,Spot,1,Image 1,1,247,
698.96,,Spot,1,Image 1,1,248,
592.84,,Spot,1,Image 1,1,253,
859.16,,Spot,1,Image 1,1,262,
1382.78,,Spot,1,Image 1,1,263,
1021.21,,Spot,1,Image 1,1,264,
879.848,,Spot,1,Image 1,1,267,
793.232,,Spot,1,Image 1,1,269,
1724.88,,Spot,1,Image 1,1,270,
847.168,,Spot,1,Image 1,1,271,
1204.32,,Spot,1,Image 1,1,273,
882.16,,Spot,1,Image 1,1,274,
788.784,,Spot,1,Image 1,1,275,
1166,,Spot,1,Image 1,1,276,
645.712,,Spot,1,Image 1,1,277,
976.368,,Spot,1,Image 1,1,278,
1066.78,,Spot,1,Image 1,1,279,
1156.28,,Spot,1,Image 1,1,280,
997,,Spot,1,Image 1,1,281,
657.04,,Spot,1,Image 1,1,282,
435.384,,Spot,1,Image 1,1,283,
446.07,,Spot,1,Image 1,1,284,
463.52,,Spot,1,Image 1,1,285,
676.9,,Spot,1,Image 1,1,286,
672.676,,Spot,1,Image 1,1,288,
871.88,,Spot,1,Image 1,1,292,
507.304,,Spot,1,Image 1,1,294,
675.68,,Spot,1,Image 1,1,296,
803.992,,Spot,1,Image 1,1,297,
916.04,,Spot,1,Image 1,1,298,
638.824,,Spot,1,Image 1,1,299,
685.46,,Spot,1,Image 1,1,300,
881.132,,Spot,1,Image 1,1,301,
1071.29,,Spot,1,Image 1,1,302,
701.704,,Spot,1,Image 1,1,303,
551.016,,Spot,1,Image 1,1,304,
974.336,,Spot,1,Image 1,1,306,
912.112,,Spot,1,Image 1,1,308,
593.77,,Spot,1,Image 1,1,309,
1067.9,,Spot,1,Image 1,1,310,
779.304,,Spot,1,Image 1,1,311,
578.72,,Spot,1,Image 1,1,312,
767.96,,Spot,1,Image 1,1,313,
677.64,,Spot,1,Image 1,1,314,
581.608,,Spot,1,Image 1,1,315,
647.928,,Spot,1,Image 1,1,316,
559.664,,Spot,1,Image 1,1,317,
792.638,,Spot,1,Image 1,1,318,
325.808,,Spot,1,Image 1,1,320,
518.936,,Spot,1,Image 1,1,321,
837.472,,Spot,1,Image 1,1,322,
1007.65,,Spot,1,Image 1,1,366,
414.952,,Spot,1,Image 1,1,374,
748.7,,Spot,1,Image 1,1,376,
1003.6,,Spot,1,Image 1,1,389,
859.868,,Spot,1,Image 1,1,390,
647.696,,Spot,1,Image 1,1,391,
1201.7,,Spot,1,Image 1,1,392,
503.168,,Spot,1,Image 1,1,393,
601.256,,Spot,1,Image 1,1,394,
454.664,,Spot,1,Image 1,1,395,
471.6,,Spot,1,Image 1,1,396,
812.24,,Spot,1,Image 1,1,398,
1084.07,,Spot,1,Image 1,1,399,
1328.24,,Spot,1,Image 1,1,400,
1494.16,,Spot,1,Image 1,1,401,
792.556,,Spot,1,Image 1,1,402,
862,,Spot,1,Image 1,1,403,
532.648,,Spot,1,Image 1,1,404,
628.68,,Spot,1,Image 1,1,405,
675.976,,Spot,1,Image 1,1,406,
374.632,,Spot,1,Image 1,1,407,
1160,,Spot,1,Image 1,1,408,
624.284,,Spot,1,Image 1,1,409,
809.576,,Spot,1,Image 1,1,410,
798.008,,Spot,1,Image 1,1,411,
859.628,,Spot,1,Image 1,1,412,
534.832,,Spot,1,Image 1,1,413,
816.608,,Spot,1,Image 1,1,414,
883.88,,Spot,1,Image 1,1,416,
999.128,,Spot,1,Image 1,1,421,
1101.22,,Spot,1,Image 1,1,423,
784.52,,Spot,1,Image 1,1,425,
1393.54,,Spot,1,Image 1,1,426,
914.884,,Spot,1,Image 1,1,427,
689.924,,Spot,1,Image 1,1,428,
723.872,,Spot,1,Image 1,1,429,
1257.17,,Spot,1,Image 1,1,431,
717.16,,Spot,1,Image 1,1,432,
686.256,,Spot,1,Image 1,1,434,
662.72,,Spot,1,Image 1,1,435,
694.328,,Spot,1,Image 1,1,436,
656.184,,Spot,1,Image 1,1,437,
322.736,,Spot,1,Image 1,1,438,
905.456,,Spot,1,Image 1,1,439,
776.056,,Spot,1,Image 1,1,440,
1205.92,,Spot,1,Image 1,1,441,
790.32,,Spot,1,Image 1,1,442,
650.632,,Spot,1,Image 1,1,443,
565.888,,Spot,1,Image 1,1,444,
789.34,,Spot,1,Image 1,1,445,
1255.87,,Spot,1,Image 1,1,446,
1272.12,,Spot,1,Image 1,1,512,
498.504,,Spot,1,Image 1,1,514,
363.368,,Spot,1,Image 1,1,517,
444.4,,Spot,1,Image 1,1,518,
568.432,,Spot,1,Image 1,1,519,
748.976,,Spot,1,Image 1,1,520,
1461.62,,Spot,1,Image 1,1,521,
843.984,,Spot,1,Image 1,1,522,
662.328,,Spot,1,Image 1,1,523,
858.144,,Spot,1,Image 1,1,524,
1294.6,,Spot,1,Image 1,1,525,
1560.51,,Spot,1,Image 1,1,526,
987.152,,Spot,1,Image 1,1,527,
696.62,,Spot,1,Image 1,1,528,
581.8,,Spot,1,Image 1,1,529,
359.163,,Spot,1,Image 1,1,530,
638,,Spot,1,Image 1,1,531,
957.816,,Spot,1,Image 1,1,547,
886.656,,Spot,1,Image 1,1,550,
919.672,,Spot,1,Image 1,1,551,
478.104,,Spot,1,Image 1,1,552,
646.456,,Spot,1,Image 1,1,554,
775.208,,Spot,1,Image 1,1,557,
584.648,,Spot,1,Image 1,1,558,
1099.25,,Spot,1,Image 1,1,559,
784.76,,Spot,1,Image 1,1,560,
1226.77,,Spot,1,Image 1,1,603,
1180.1,,Spot,1,Image 1,1,53019,
1439.1,,Spot,1,Image 1,1,53020,
1099,,Spot,1,Image 1,1,53022,
553.04,,Spot,1,Image 1,1,53023,
523.328,,Spot,1,Image 1,1,53024,
587.18,,Spot,1,Image 1,1,53025,
1216.92,,Spot,1,Image 1,1,53027,
1462.78,,Spot,1,Image 1,1,53028,
705.456,,Spot,1,Image 1,1,53029,
646.088,,Spot,1,Image 1,1,53030,
715.048,,Spot,1,Image 1,1,53031,
911,,Spot,1,Image 1,1,53032,
760.52,,Spot,1,Image 1,1,53033,
631.544,,Spot,1,Image 1,1,53034,
1046.63,,Spot,1,Image 1,1,53035,
520.608,,Spot,1,Image 1,1,53036,
512.848,,Spot,1,Image 1,1,53037,
983.4,,Spot,1,Image 1,1,53038,
843.864,,Spot,1,Image 1,1,53039,
780.72,,Spot,1,Image 1,1,53040,
865.08,,Spot,1,Image 1,1,53041,
921.6,,Spot,1,Image 1,1,53042,
917.184,,Spot,1,Image 1,1,53043,
1065.67,,Spot,1,Image 1,1,53044,
1002.51,,Spot,1,Image 1,1,53045,
879.2,,Spot,1,Image 1,1,53046,
926.024,,Spot,1,Image 1,1,53048,
1062.42,,Spot,1,Image 1,1,53049,
736.616,,Spot,1,Image 1,1,53050,
513.552,,Spot,1,Image 1,1,53052,
692.04,,Spot,1,Image 1,1,53053,
730.824,,Spot,1,Image 1,1,53055,
925.28,,Spot,1,Image 1,1,53056,
1083,,Spot,1,Image 1,1,53057,
1001.95,,Spot,1,Image 1,1,53058,
690.704,,Spot,1,Image 1,1,53059,
439.52,,Spot,1,Image 1,1,53060,
718.6,,Spot,1,Image 1,1,53061,
794.16,,Spot,1,Image 1,1,53062,
600.08,,Spot,1,Image 1,1,53063,
1211.25,,Spot,1,Image 1,1,53065,
911.736,,Spot,1,Image 1,1,53066,
892.436,,Spot,1,Image 1,1,53067,
884.04,,Spot,1,Image 1,1,53068,
697.384,,Spot,1,Image 1,1,53069,
676.776,,Spot,1,Image 1,1,53071,
425.8,,Spot,1,Image 1,1,53072,
1055.88,,Spot,1,Image 1,1,53073,
1770.94,,Spot,1,Image 1,1,53075,
1086.02,,Spot,1,Image 1,1,53078,
1214.99,,Spot,1,Image 1,1,53079,
1078.2,,Spot,1,Image 1,1,53080,
1123.47,,Spot,1,Image 1,1,53081,
1024.14,,Spot,1,Image 1,1,53082,
1133.34,,Spot,1,Image 1,1,53083,
1395.89,,Spot,1,Image 1,1,53084,
1055.56,,Spot,1,Image 1,1,53085,
1536.2,,Spot,1,Image 1,1,53086,
1280.1,,Spot,1,Image 1,1,53087,
1030.7,,Spot,1,Image 1,1,53088,
791.92,,Spot,1,Image 1,1,53090,
1237.4,,Spot,1,Image 1,1,53091,
1040.62,,Spot,1,Image 1,1,53092,
640.12,,Spot,1,Image 1,1,53094,
677.08,,Spot,1,Image 1,1,53095,
765.162,,Spot,1,Image 1,1,53096,
1259.68,,Spot,1,Image 1,1,53097,
1104.87,,Spot,1,Image 1,1,53098,
567.224,,Spot,1,Image 1,1,53099,
1024.67,,Spot,1,Image 1,1,53100,
792.24,,Spot,1,Image 1,1,53101,
712.36,,Spot,1,Image 1,1,53102,
470.152,,Spot,1,Image 1,1,53103,
454.496,,Spot,1,Image 1,1,53104,
615.04,,Spot,1,Image 1,1,53105,
1177.62,,Spot,1,Image 1,1,53106,
999.664,,Spot,1,Image 1,1,53107,
667.424,,Spot,1,Image 1,1,53108,
685.2,,Spot,1,Image 1,1,53109,
1171.37,,Spot,1,Image 1,1,53110,
919.944,,Spot,1,Image 1,1,53111,
847.944,,Spot,1,Image 1,1,53112,
993.224,,Spot,1,Image 1,1,53113,
986,,Spot,1,Image 1,1,53115,
542.552,,Spot,1,Image 1,1,53116,
710.72,,Spot,1,Image 1,1,53118,
1062.56,,Spot,1,Image 1,1,53119,
669.648,,Spot,1,Image 1,1,53120,
447.88,,Spot,1,Image 1,1,53121,
580.752,,Spot,1,Image 1,1,53122,
1061.3,,Spot,1,Image 1,1,53123,
855.2,,Spot,1,Image 1,1,53124,
671.112,,Spot,1,Image 1,1,53125,
726.64,,Spot,1,Image 1,1,53126,
527.704,,Spot,1,Image 1,1,53127,
793.968,,Spot,1,Image 1,1,53128,
1066.62,,Spot,1,Image 1,1,53129,
885.072,,Spot,1,Image 1,1,53130,
783.08,,Spot,1,Image 1,1,53131,
974.36,,Spot,1,Image 1,1,53132,
1093.27,,Spot,1,Image 1,1,53133,
783.392,,Spot,1,Image 1,1,53134,
1297.41,,Spot,1,Image 1,1,53135,
1266,,Spot,1,Image 1,1,53136,
827.688,,Spot,1,Image 1,1,53137,
1164,,Spot,1,Image 1,1,53138,
541.064,,Spot,1,Image 1,1,53140,
1234.92,,Spot,1,Image 1,1,53141,
1221.11,,Spot,1,Image 1,1,53142,
860.304,,Spot,1,Image 1,1,53143,
718.424,,Spot,1,Image 1,1,53144,
893.944,,Spot,1,Image 1,1,53145,
1276.29,,Spot,1,Image 1,1,53146,
1190.57,,Spot,1,Image 1,1,53147,
772.332,,Spot,1,Image 1,1,53148,
715.024,,Spot,1,Image 1,1,53149,
1317.78,,Spot,1,Image 1,1,53150,
1196.11,,Spot,1,Image 1,1,53152,
1046.23,,Spot,1,Image 1,1,53154,
716.976,,Spot,1,Image 1,1,53155,
808.336,,Spot,1,Image 1,1,53157,
547.96,,Spot,1,Image 1,1,53159,
945.728,,Spot,1,Image 1,1,53160,
908.032,,Spot,1,Image 1,1,53163,
1342.92,,Spot,1,Image 1,1,53164,
790.256,,Spot,1,Image 1,1,53165,
1038.66,,Spot,1,Image 1,1,53166,
1057.84,,Spot,1,Image 1,1,53167,
466.392,,Spot,1,Image 1,1,53168,
1151,,Spot,1,Image 1,1,53169,
1047.87,,Spot,1,Image 1,1,53170,
1121.22,,Spot,1,Image 1,1,53171,
790.632,,Spot,1,Image 1,1,53172,
1250.38,,Spot,1,Image 1,1,53173,
953.744,,Spot,1,Image 1,1,53174,
679.84,,Spot,1,Image 1,1,53175,
992.408,,Spot,1,Image 1,1,53176,
582.944,,Spot,1,Image 1,1,53177,
632.7,,Spot,1,Image 1,1,53179,
1141.13,,Spot,1,Image 1,1,53180,
721.784,,Spot,1,Image 1,1,53181,
1017.77,,Spot,1,Image 1,1,53182,
918.52,,Spot,1,Image 1,1,53183,
636.712,,Spot,1,Image 1,1,53184,
766.608,,Spot,1,Image 1,1,53185,
434.848,,Spot,1,Image 1,1,53186,
703.04,,Spot,1,Image 1,1,53187,
818.288,,Spot,1,Image 1,1,53188,
546.472,,Spot,1,Image 1,1,53189,
774.032,,Spot,1,Image 1,1,53190,
566.304,,Spot,1,Image 1,1,53191,
1070.7,,Spot,1,Image 1,1,53192,
1063.26,,Spot,1,Image 1,1,53193,
982.188,,Spot,1,Image 1,1,53194,
920.628,,Spot,1,Image 1,1,53195,
530.44,,Spot,1,Image 1,1,53196,
653.776,,Spot,1,Image 1,1,53197,
988.944,,Spot,1,Image 1,1,53198,
927.816,,Spot,1,Image 1,1,53199,
676.78,,Spot,1,Image 1,1,53200,
590.64,,Spot,1,Image 1,1,53201,
1308.44,,Spot,1,Image 1,1,53203,
1299.74,,Spot,1,Image 1,1,53204,
563.896,,Spot,1,Image 1,1,53205,
1049.02,,Spot,1,Image 1,1,53206,
708.728,,Spot,1,Image 1,1,53207,
560.868,,Spot,1,Image 1,1,53208,
620.376,,Spot,1,Image 1,1,53209,
1314.4,,Spot,1,Image 1,1,53210,
843.888,,Spot,1,Image 1,1,53211,
1126.29,,Spot,1,Image 1,1,53212,
1026.9,,Spot,1,Image 1,1,53213,
767.088,,Spot,1,Image 1,1,53214,
1651.6,,Spot,1,Image 1,1,53215,
878.04,,Spot,1,Image 1,1,53216,
651.362,,Spot,1,Image 1,1,53217,
964.064,,Spot,1,Image 1,1,53218,
399.764,,Spot,1,Image 1,1,53219,
605.08,,Spot,1,Image 1,1,53220,
613.648,,Spot,1,Image 1,1,53221,
639.88,,Spot,1,Image 1,1,53222,
788.488,,Spot,1,Image 1,1,53225,
1097.46,,Spot,1,Image 1,1,53226,
780.328,,Spot,1,Image 1,1,53227,
598.6,,Spot,1,Image 1,1,53228,
768.344,,Spot,1,Image 1,1,53229,
701.224,,Spot,1,Image 1,1,53230,
1045.62,,Spot,1,Image 1,1,53231,
616.104,,Spot,1,Image 1,1,53232,
897.824,,Spot,1,Image 1,1,53233,
1058.77,,Spot,1,Image 1,1,53234,
676.552,,Spot,1,Image 1,1,53235,
3232.08,,Spot,1,Image 1,2,53236,
575.45,,Spot,1,Image 1,2,53237,
667.298,,Spot,1,Image 1,2,53238,
767.928,,Spot,1,Image 1,2,53239,
666.152,,Spot,1,Image 1,2,53240,
985.464,,Spot,1,Image 1,2,53241,
