
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,4,Image 1,1,3,
0,,Spot,4,Image 1,1,15,
0,,Spot,4,Image 1,1,18,
0,,Spot,4,Image 1,1,40,
0,,Spot,4,Image 1,1,41,
0,,Spot,4,Image 1,1,44,
0,,Spot,4,Image 1,1,63,
0,,Spot,4,Image 1,1,64,
0,,Spot,4,Image 1,1,66,
0,,Spot,4,Image 1,1,70,
0,,Spot,4,Image 1,1,73,
0,,Spot,4,Image 1,1,74,
0,,Spot,4,Image 1,1,76,
0,,Spot,4,Image 1,1,80,
0,,Spot,4,Image 1,1,81,
0,,Spot,4,Image 1,1,82,
0,,Spot,4,Image 1,1,83,
0,,Spot,4,Image 1,1,84,
0,,Spot,4,Image 1,1,85,
0,,Spot,4,Image 1,1,86,
0,,Spot,4,Image 1,1,87,
0,,Spot,4,Image 1,1,88,
0,,Spot,4,Image 1,1,90,
0,,Spot,4,Image 1,1,91,
0,,Spot,4,Image 1,1,92,
0,,Spot,4,Image 1,1,93,
0,,Spot,4,Image 1,1,94,
0,,Spot,4,Image 1,1,95,
0,,Spot,4,Image 1,1,96,
0,,Spot,4,Image 1,1,97,
0,,Spot,4,Image 1,1,98,
0,,Spot,4,Image 1,1,99,
0,,Spot,4,Image 1,1,100,
0,,Spot,4,Image 1,1,101,
0,,Spot,4,Image 1,1,102,
0,,Spot,4,Image 1,1,103,
0,,Spot,4,Image 1,1,104,
0,,Spot,4,Image 1,1,105,
0,,Spot,4,Image 1,1,106,
0,,Spot,4,Image 1,1,107,
0,,Spot,4,Image 1,1,108,
0,,Spot,4,Image 1,1,109,
0,,Spot,4,Image 1,1,110,
0,,Spot,4,Image 1,1,111,
0,,Spot,4,Image 1,1,122,
0,,Spot,4,Image 1,1,125,
0,,Spot,4,Image 1,1,128,
0,,Spot,4,Image 1,1,130,
0,,Spot,4,Image 1,1,131,
0,,Spot,4,Image 1,1,132,
0,,Spot,4,Image 1,1,133,
0,,Spot,4,Image 1,1,134,
0,,Spot,4,Image 1,1,135,
0,,Spot,4,Image 1,1,136,
0,,Spot,4,Image 1,1,137,
0,,Spot,4,Image 1,1,138,
0,,Spot,4,Image 1,1,139,
0,,Spot,4,Image 1,1,140,
0,,Spot,4,Image 1,1,141,
0,,Spot,4,Image 1,1,142,
0,,Spot,4,Image 1,1,143,
0,,Spot,4,Image 1,1,144,
0,,Spot,4,Image 1,1,145,
0,,Spot,4,Image 1,1,146,
0,,Spot,4,Image 1,1,147,
0,,Spot,4,Image 1,1,150,
0,,Spot,4,Image 1,1,151,
0,,Spot,4,Image 1,1,152,
0,,Spot,4,Image 1,1,154,
0,,Spot,4,Image 1,1,155,
0,,Spot,4,Image 1,1,156,
0,,Spot,4,Image 1,1,157,
0,,Spot,4,Image 1,1,158,
0,,Spot,4,Image 1,1,159,
0,,Spot,4,Image 1,1,160,
0,,Spot,4,Image 1,1,161,
0,,Spot,4,Image 1,1,162,
0,,Spot,4,Image 1,1,163,
0,,Spot,4,Image 1,1,164,
0,,Spot,4,Image 1,1,167,
0,,Spot,4,Image 1,1,168,
0,,Spot,4,Image 1,1,169,
0,,Spot,4,Image 1,1,170,
0,,Spot,4,Image 1,1,171,
0,,Spot,4,Image 1,1,172,
0,,Spot,4,Image 1,1,173,
0,,Spot,4,Image 1,1,174,
0,,Spot,4,Image 1,1,175,
0,,Spot,4,Image 1,1,233,
0,,Spot,4,Image 1,1,234,
0,,Spot,4,Image 1,1,238,
0,,Spot,4,Image 1,1,240,
0,,Spot,4,Image 1,1,246,
0,,Spot,4,Image 1,1,247,
0,,Spot,4,Image 1,1,248,
0,,Spot,4,Image 1,1,253,
0,,Spot,4,Image 1,1,262,
0,,Spot,4,Image 1,1,263,
0,,Spot,4,Image 1,1,264,
0,,Spot,4,Image 1,1,267,
0,,Spot,4,Image 1,1,269,
0,,Spot,4,Image 1,1,270,
0,,Spot,4,Image 1,1,271,
0,,Spot,4,Image 1,1,273,
0,,Spot,4,Image 1,1,274,
0,,Spot,4,Image 1,1,275,
0,,Spot,4,Image 1,1,276,
0,,Spot,4,Image 1,1,277,
0,,Spot,4,Image 1,1,278,
0,,Spot,4,Image 1,1,279,
0,,Spot,4,Image 1,1,280,
0,,Spot,4,Image 1,1,281,
0,,Spot,4,Image 1,1,282,
0,,Spot,4,Image 1,1,283,
0,,Spot,4,Image 1,1,284,
0,,Spot,4,Image 1,1,285,
0,,Spot,4,Image 1,1,286,
0,,Spot,4,Image 1,1,288,
0,,Spot,4,Image 1,1,292,
0,,Spot,4,Image 1,1,294,
0,,Spot,4,Image 1,1,296,
0,,Spot,4,Image 1,1,297,
0,,Spot,4,Image 1,1,298,
0,,Spot,4,Image 1,1,299,
0,,Spot,4,Image 1,1,300,
0,,Spot,4,Image 1,1,301,
0,,Spot,4,Image 1,1,302,
0,,Spot,4,Image 1,1,303,
0,,Spot,4,Image 1,1,304,
0,,Spot,4,Image 1,1,306,
0,,Spot,4,Image 1,1,308,
0,,Spot,4,Image 1,1,309,
0,,Spot,4,Image 1,1,310,
0,,Spot,4,Image 1,1,311,
0,,Spot,4,Image 1,1,312,
0,,Spot,4,Image 1,1,313,
0,,Spot,4,Image 1,1,314,
0,,Spot,4,Image 1,1,315,
0,,Spot,4,Image 1,1,316,
0,,Spot,4,Image 1,1,317,
0,,Spot,4,Image 1,1,318,
0,,Spot,4,Image 1,1,320,
0,,Spot,4,Image 1,1,321,
0,,Spot,4,Image 1,1,322,
0,,Spot,4,Image 1,1,366,
0,,Spot,4,Image 1,1,374,
0,,Spot,4,Image 1,1,376,
0,,Spot,4,Image 1,1,389,
0,,Spot,4,Image 1,1,390,
0,,Spot,4,Image 1,1,391,
0,,Spot,4,Image 1,1,392,
0,,Spot,4,Image 1,1,393,
0,,Spot,4,Image 1,1,394,
0,,Spot,4,Image 1,1,395,
0,,Spot,4,Image 1,1,396,
0,,Spot,4,Image 1,1,398,
0,,Spot,4,Image 1,1,399,
0,,Spot,4,Image 1,1,400,
0,,Spot,4,Image 1,1,401,
0,,Spot,4,Image 1,1,402,
0,,Spot,4,Image 1,1,403,
0,,Spot,4,Image 1,1,404,
0,,Spot,4,Image 1,1,405,
0,,Spot,4,Image 1,1,406,
0,,Spot,4,Image 1,1,407,
0,,Spot,4,Image 1,1,408,
0,,Spot,4,Image 1,1,409,
0,,Spot,4,Image 1,1,410,
0,,Spot,4,Image 1,1,411,
0,,Spot,4,Image 1,1,412,
0,,Spot,4,Image 1,1,413,
0,,Spot,4,Image 1,1,414,
0,,Spot,4,Image 1,1,416,
0,,Spot,4,Image 1,1,421,
0,,Spot,4,Image 1,1,423,
0,,Spot,4,Image 1,1,425,
0,,Spot,4,Image 1,1,426,
0,,Spot,4,Image 1,1,427,
0,,Spot,4,Image 1,1,428,
0,,Spot,4,Image 1,1,429,
0,,Spot,4,Image 1,1,431,
0,,Spot,4,Image 1,1,432,
0,,Spot,4,Image 1,1,434,
0,,Spot,4,Image 1,1,435,
0,,Spot,4,Image 1,1,436,
0,,Spot,4,Image 1,1,437,
0,,Spot,4,Image 1,1,438,
0,,Spot,4,Image 1,1,439,
0,,Spot,4,Image 1,1,440,
0,,Spot,4,Image 1,1,441,
0,,Spot,4,Image 1,1,442,
0,,Spot,4,Image 1,1,443,
0,,Spot,4,Image 1,1,444,
0,,Spot,4,Image 1,1,445,
0,,Spot,4,Image 1,1,446,
0,,Spot,4,Image 1,1,512,
0,,Spot,4,Image 1,1,514,
0,,Spot,4,Image 1,1,517,
0,,Spot,4,Image 1,1,518,
0,,Spot,4,Image 1,1,519,
0,,Spot,4,Image 1,1,520,
0,,Spot,4,Image 1,1,521,
0,,Spot,4,Image 1,1,522,
0,,Spot,4,Image 1,1,523,
0,,Spot,4,Image 1,1,524,
0,,Spot,4,Image 1,1,525,
0,,Spot,4,Image 1,1,526,
0,,Spot,4,Image 1,1,527,
0,,Spot,4,Image 1,1,528,
0,,Spot,4,Image 1,1,529,
0,,Spot,4,Image 1,1,530,
0,,Spot,4,Image 1,1,531,
0,,Spot,4,Image 1,1,547,
0,,Spot,4,Image 1,1,550,
0,,Spot,4,Image 1,1,551,
0,,Spot,4,Image 1,1,552,
0,,Spot,4,Image 1,1,554,
0,,Spot,4,Image 1,1,557,
0,,Spot,4,Image 1,1,558,
0,,Spot,4,Image 1,1,559,
0,,Spot,4,Image 1,1,560,
0,,Spot,4,Image 1,1,603,
0,,Spot,4,Image 1,1,53019,
0,,Spot,4,Image 1,1,53020,
0,,Spot,4,Image 1,1,53022,
0,,Spot,4,Image 1,1,53023,
0,,Spot,4,Image 1,1,53024,
0,,Spot,4,Image 1,1,53025,
0,,Spot,4,Image 1,1,53027,
0,,Spot,4,Image 1,1,53028,
0,,Spot,4,Image 1,1,53029,
0,,Spot,4,Image 1,1,53030,
0,,Spot,4,Image 1,1,53031,
0,,Spot,4,Image 1,1,53032,
0,,Spot,4,Image 1,1,53033,
0,,Spot,4,Image 1,1,53034,
0,,Spot,4,Image 1,1,53035,
0,,Spot,4,Image 1,1,53036,
0,,Spot,4,Image 1,1,53037,
0,,Spot,4,Image 1,1,53038,
0,,Spot,4,Image 1,1,53039,
