
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
2796.64,,Spot,2,Image 1,1,3,
896.077,,Spot,2,Image 1,1,15,
623.039,,Spot,2,Image 1,1,18,
963.867,,Spot,2,Image 1,1,40,
592.947,,Spot,2,Image 1,1,41,
865.893,,Spot,2,Image 1,1,44,
2180.44,,Spot,2,Image 1,1,63,
800.025,,Spot,2,Image 1,1,64,
906.18,,Spot,2,Image 1,1,66,
754.084,,Spot,2,Image 1,1,70,
1198.16,,Spot,2,Image 1,1,73,
744.068,,Spot,2,Image 1,1,74,
788.591,,Spot,2,Image 1,1,76,
838.454,,Spot,2,Image 1,1,80,
743.206,,Spot,2,Image 1,1,81,
834.647,,Spot,2,Image 1,1,82,
888.024,,Spot,2,Image 1,1,83,
870.801,,Spot,2,Image 1,1,84,
779.024,,Spot,2,Image 1,1,85,
759.732,,Spot,2,Image 1,1,86,
765.599,,Spot,2,Image 1,1,87,
743.854,,Spot,2,Image 1,1,88,
1150.53,,Spot,2,Image 1,1,90,
700.512,,Spot,2,Image 1,1,91,
720.687,,Spot,2,Image 1,1,92,
843.399,,Spot,2,Image 1,1,93,
843.645,,Spot,2,Image 1,1,94,
732.284,,Spot,2,Image 1,1,95,
741.555,,Spot,2,Image 1,1,96,
900.055,,Spot,2,Image 1,1,97,
876.667,,Spot,2,Image 1,1,98,
576.859,,Spot,2,Image 1,1,99,
1852.37,,Spot,2,Image 1,1,100,
695.879,,Spot,2,Image 1,1,101,
842.972,,Spot,2,Image 1,1,102,
852.176,,Spot,2,Image 1,1,103,
1001.17,,Spot,2,Image 1,1,104,
633.122,,Spot,2,Image 1,1,105,
589.497,,Spot,2,Image 1,1,106,
1014.79,,Spot,2,Image 1,1,107,
867.224,,Spot,2,Image 1,1,108,
678.493,,Spot,2,Image 1,1,109,
889.283,,Spot,2,Image 1,1,110,
626.847,,Spot,2,Image 1,1,111,
1188.65,,Spot,2,Image 1,1,122,
667.768,,Spot,2,Image 1,1,125,
825.958,,Spot,2,Image 1,1,128,
1472.77,,Spot,2,Image 1,1,130,
766.798,,Spot,2,Image 1,1,131,
857.727,,Spot,2,Image 1,1,132,
838.699,,Spot,2,Image 1,1,133,
