
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.9967e+06,,Spot,4,Image 1,1,3,
50839,,Spot,4,Image 1,1,15,
155712,,Spot,4,Image 1,1,18,
362196,,Spot,4,Image 1,1,40,
339503,,Spot,4,Image 1,1,41,
44597,,Spot,4,Image 1,1,44,
3.82859e+06,,Spot,4,Image 1,1,63,
285853,,Spot,4,Image 1,1,64,
404854,,Spot,4,Image 1,1,66,
31660,,Spot,4,Image 1,1,70,
1.16766e+06,,Spot,4,Image 1,1,73,
468260,,Spot,4,Image 1,1,74,
17435,,Spot,4,Image 1,1,76,
84967,,Spot,4,Image 1,1,80,
314212,,Spot,4,Image 1,1,81,
236200,,Spot,4,Image 1,1,82,
355469,,Spot,4,Image 1,1,83,
333876,,Spot,4,Image 1,1,84,
62630,,Spot,4,Image 1,1,85,
212281,,Spot,4,Image 1,1,86,
143565,,Spot,4,Image 1,1,87,
31990,,Spot,4,Image 1,1,88,
36230,,Spot,4,Image 1,1,90,
2.33592e+06,,Spot,4,Image 1,1,91,
1.75601e+06,,Spot,4,Image 1,1,92,
150281,,Spot,4,Image 1,1,93,
131954,,Spot,4,Image 1,1,94,
255728,,Spot,4,Image 1,1,95,
130583,,Spot,4,Image 1,1,96,
318394,,Spot,4,Image 1,1,97,
23818,,Spot,4,Image 1,1,98,
174308,,Spot,4,Image 1,1,99,
994661,,Spot,4,Image 1,1,100,
267968,,Spot,4,Image 1,1,101,
229533,,Spot,4,Image 1,1,102,
3234,,Spot,4,Image 1,1,103,
63669,,Spot,4,Image 1,1,104,
66209,,Spot,4,Image 1,1,105,
90296,,Spot,4,Image 1,1,106,
52432,,Spot,4,Image 1,1,107,
158927,,Spot,4,Image 1,1,108,
41082,,Spot,4,Image 1,1,109,
73944,,Spot,4,Image 1,1,110,
93131,,Spot,4,Image 1,1,111,
356791,,Spot,4,Image 1,1,122,
519082,,Spot,4,Image 1,1,125,
45857,,Spot,4,Image 1,1,128,
2.36067e+06,,Spot,4,Image 1,1,130,
230390,,Spot,4,Image 1,1,131,
65501,,Spot,4,Image 1,1,132,
455688,,Spot,4,Image 1,1,133,
533492,,Spot,4,Image 1,1,134,
307633,,Spot,4,Image 1,1,135,
91077,,Spot,4,Image 1,1,136,
520522,,Spot,4,Image 1,1,137,
437704,,Spot,4,Image 1,1,138,
14319,,Spot,4,Image 1,1,139,
229979,,Spot,4,Image 1,1,140,
433594,,Spot,4,Image 1,1,141,
21724,,Spot,4,Image 1,1,142,
2.86659e+06,,Spot,4,Image 1,1,143,
274257,,Spot,4,Image 1,1,144,
35102,,Spot,4,Image 1,1,145,
25756,,Spot,4,Image 1,1,146,
343172,,Spot,4,Image 1,1,147,
400659,,Spot,4,Image 1,1,150,
24536,,Spot,4,Image 1,1,151,
16025,,Spot,4,Image 1,1,152,
227299,,Spot,4,Image 1,1,154,
320709,,Spot,4,Image 1,1,155,
204825,,Spot,4,Image 1,1,156,
29585,,Spot,4,Image 1,1,157,
497962,,Spot,4,Image 1,1,158,
333800,,Spot,4,Image 1,1,159,
256066,,Spot,4,Image 1,1,160,
158049,,Spot,4,Image 1,1,161,
104130,,Spot,4,Image 1,1,162,
294902,,Spot,4,Image 1,1,163,
887625,,Spot,4,Image 1,1,164,
70813,,Spot,4,Image 1,1,167,
422493,,Spot,4,Image 1,1,168,
126075,,Spot,4,Image 1,1,169,
42967,,Spot,4,Image 1,1,170,
481383,,Spot,4,Image 1,1,171,
83392,,Spot,4,Image 1,1,172,
506436,,Spot,4,Image 1,1,173,
114324,,Spot,4,Image 1,1,174,
240290,,Spot,4,Image 1,1,175,
138073,,Spot,4,Image 1,1,233,
121966,,Spot,4,Image 1,1,234,
283878,,Spot,4,Image 1,1,238,
62150,,Spot,4,Image 1,1,240,
193936,,Spot,4,Image 1,1,246,
79387,,Spot,4,Image 1,1,247,
313571,,Spot,4,Image 1,1,248,
25052,,Spot,4,Image 1,1,253,
257098,,Spot,4,Image 1,1,262,
543492,,Spot,4,Image 1,1,263,
253084,,Spot,4,Image 1,1,264,
127354,,Spot,4,Image 1,1,267,
284741,,Spot,4,Image 1,1,269,
782478,,Spot,4,Image 1,1,270,
53505,,Spot,4,Image 1,1,271,
111769,,Spot,4,Image 1,1,273,
39371,,Spot,4,Image 1,1,274,
129944,,Spot,4,Image 1,1,275,
70666,,Spot,4,Image 1,1,276,
102814,,Spot,4,Image 1,1,277,
776716,,Spot,4,Image 1,1,278,
194996,,Spot,4,Image 1,1,279,
48967,,Spot,4,Image 1,1,280,
309688,,Spot,4,Image 1,1,281,
45541,,Spot,4,Image 1,1,282,
50131,,Spot,4,Image 1,1,283,
54112,,Spot,4,Image 1,1,284,
39896,,Spot,4,Image 1,1,285,
106130,,Spot,4,Image 1,1,286,
15075,,Spot,4,Image 1,1,288,
112912,,Spot,4,Image 1,1,292,
34707,,Spot,4,Image 1,1,294,
98968,,Spot,4,Image 1,1,296,
456596,,Spot,4,Image 1,1,297,
84629,,Spot,4,Image 1,1,298,
25402,,Spot,4,Image 1,1,299,
37592,,Spot,4,Image 1,1,300,
24836,,Spot,4,Image 1,1,301,
215624,,Spot,4,Image 1,1,302,
75559,,Spot,4,Image 1,1,303,
252812,,Spot,4,Image 1,1,304,
448907,,Spot,4,Image 1,1,306,
447697,,Spot,4,Image 1,1,308,
27951,,Spot,4,Image 1,1,309,
305770,,Spot,4,Image 1,1,310,
329232,,Spot,4,Image 1,1,311,
330834,,Spot,4,Image 1,1,312,
529365,,Spot,4,Image 1,1,313,
383002,,Spot,4,Image 1,1,314,
118675,,Spot,4,Image 1,1,315,
114717,,Spot,4,Image 1,1,316,
98210,,Spot,4,Image 1,1,317,
638616,,Spot,4,Image 1,1,318,
144731,,Spot,4,Image 1,1,320,
71486,,Spot,4,Image 1,1,321,
144627,,Spot,4,Image 1,1,322,
11464,,Spot,4,Image 1,1,366,
43360,,Spot,4,Image 1,1,374,
82793,,Spot,4,Image 1,1,376,
798678,,Spot,4,Image 1,1,389,
13659,,Spot,4,Image 1,1,390,
364866,,Spot,4,Image 1,1,391,
724703,,Spot,4,Image 1,1,392,
71636,,Spot,4,Image 1,1,393,
149052,,Spot,4,Image 1,1,394,
59621,,Spot,4,Image 1,1,395,
87470,,Spot,4,Image 1,1,396,
793659,,Spot,4,Image 1,1,398,
445205,,Spot,4,Image 1,1,399,
1.02189e+06,,Spot,4,Image 1,1,400,
317434,,Spot,4,Image 1,1,401,
11756,,Spot,4,Image 1,1,402,
69923,,Spot,4,Image 1,1,403,
15879,,Spot,4,Image 1,1,404,
433532,,Spot,4,Image 1,1,405,
811863,,Spot,4,Image 1,1,406,
308462,,Spot,4,Image 1,1,407,
10947,,Spot,4,Image 1,1,408,
290523,,Spot,4,Image 1,1,409,
37515,,Spot,4,Image 1,1,410,
29972,,Spot,4,Image 1,1,411,
56168,,Spot,4,Image 1,1,412,
52066,,Spot,4,Image 1,1,413,
71565,,Spot,4,Image 1,1,414,
550235,,Spot,4,Image 1,1,416,
96678,,Spot,4,Image 1,1,421,
355231,,Spot,4,Image 1,1,423,
241110,,Spot,4,Image 1,1,425,
