
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.98735e+10,,Spot,6,Image 1,1,3,
1.62594e+10,,Spot,6,Image 1,1,15,
7.12049e+09,,Spot,6,Image 1,1,18,
1.9301e+10,,Spot,6,Image 1,1,40,
4.49502e+09,,Spot,6,Image 1,1,41,
2.77207e+10,,Spot,6,Image 1,1,44,
2.00739e+10,,Spot,6,Image 1,1,63,
8.52331e+09,,Spot,6,Image 1,1,64,
1.37803e+10,,Spot,6,Image 1,1,66,
1.70781e+10,,Spot,6,Image 1,1,70,
1.58316e+10,,Spot,6,Image 1,1,73,
1.58377e+10,,Spot,6,Image 1,1,74,
1.96843e+10,,Spot,6,Image 1,1,76,
1.58181e+10,,Spot,6,Image 1,1,80,
9.57591e+09,,Spot,6,Image 1,1,81,
1.25942e+10,,Spot,6,Image 1,1,82,
1.83536e+10,,Spot,6,Image 1,1,83,
1.65825e+10,,Spot,6,Image 1,1,84,
2.15598e+10,,Spot,6,Image 1,1,85,
1.28257e+10,,Spot,6,Image 1,1,86,
2.40645e+10,,Spot,6,Image 1,1,87,
1.84925e+10,,Spot,6,Image 1,1,88,
2.13069e+10,,Spot,6,Image 1,1,90,
4.48738e+09,,Spot,6,Image 1,1,91,
3.7448e+09,,Spot,6,Image 1,1,92,
5.49494e+09,,Spot,6,Image 1,1,93,
2.67843e+10,,Spot,6,Image 1,1,94,
1.32872e+10,,Spot,6,Image 1,1,95,
1.41214e+10,,Spot,6,Image 1,1,96,
7.58623e+09,,Spot,6,Image 1,1,97,
3.15953e+10,,Spot,6,Image 1,1,98,
7.52177e+09,,Spot,6,Image 1,1,99,
3.57261e+10,,Spot,6,Image 1,1,100,
6.48683e+09,,Spot,6,Image 1,1,101,
9.99905e+09,,Spot,6,Image 1,1,102,
2.08856e+10,,Spot,6,Image 1,1,103,
3.19819e+10,,Spot,6,Image 1,1,104,
6.8123e+09,,Spot,6,Image 1,1,105,
4.09544e+09,,Spot,6,Image 1,1,106,
2.79079e+10,,Spot,6,Image 1,1,107,
2.77333e+10,,Spot,6,Image 1,1,108,
6.45729e+09,,Spot,6,Image 1,1,109,
1.60867e+10,,Spot,6,Image 1,1,110,
1.03906e+10,,Spot,6,Image 1,1,111,
1.26305e+10,,Spot,6,Image 1,1,122,
4.76376e+09,,Spot,6,Image 1,1,125,
2.42848e+10,,Spot,6,Image 1,1,128,
1.15524e+10,,Spot,6,Image 1,1,130,
1.43481e+10,,Spot,6,Image 1,1,131,
1.8815e+10,,Spot,6,Image 1,1,132,
1.14437e+10,,Spot,6,Image 1,1,133,
8.98581e+09,,Spot,6,Image 1,1,134,
6.95054e+09,,Spot,6,Image 1,1,135,
1.38865e+10,,Spot,6,Image 1,1,136,
9.1855e+09,,Spot,6,Image 1,1,137,
1.71066e+10,,Spot,6,Image 1,1,138,
1.87484e+10,,Spot,6,Image 1,1,139,
2.03868e+10,,Spot,6,Image 1,1,140,
2.81973e+10,,Spot,6,Image 1,1,141,
2.10098e+10,,Spot,6,Image 1,1,142,
4.35659e+10,,Spot,6,Image 1,1,143,
7.81467e+09,,Spot,6,Image 1,1,144,
8.90106e+09,,Spot,6,Image 1,1,145,
8.93181e+09,,Spot,6,Image 1,1,146,
1.39799e+10,,Spot,6,Image 1,1,147,
1.72109e+10,,Spot,6,Image 1,1,150,
2.69093e+10,,Spot,6,Image 1,1,151,
2.57383e+10,,Spot,6,Image 1,1,152,
7.88193e+09,,Spot,6,Image 1,1,154,
9.60642e+09,,Spot,6,Image 1,1,155,
8.27462e+09,,Spot,6,Image 1,1,156,
3.21566e+10,,Spot,6,Image 1,1,157,
1.79327e+10,,Spot,6,Image 1,1,158,
3.62086e+10,,Spot,6,Image 1,1,159,
8.66578e+09,,Spot,6,Image 1,1,160,
1.19508e+10,,Spot,6,Image 1,1,161,
7.1812e+09,,Spot,6,Image 1,1,162,
