
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2290,,Spot,Image 1,1,3,
1962,,Spot,Image 1,1,15,
2737,,Spot,Image 1,1,18,
2284,,Spot,Image 1,1,40,
2289,,Spot,Image 1,1,41,
2742,,Spot,Image 1,1,44,
2295,,Spot,Image 1,1,63,
2292,,Spot,Image 1,1,64,
2299,,Spot,Image 1,1,66,
2439,,Spot,Image 1,1,70,
2744,,Spot,Image 1,1,73,
2737,,Spot,Image 1,1,74,
2741,,Spot,Image 1,1,76,
2750,,Spot,Image 1,1,80,
2299,,Spot,Image 1,1,81,
2287,,Spot,Image 1,1,82,
2292,,Spot,Image 1,1,83,
1943,,Spot,Image 1,1,84,
2743,,Spot,Image 1,1,85,
2754,,Spot,Image 1,1,86,
2746,,Spot,Image 1,1,87,
2744,,Spot,Image 1,1,88,
2747,,Spot,Image 1,1,90,
2286,,Spot,Image 1,1,91,
2279,,Spot,Image 1,1,92,
2393,,Spot,Image 1,1,93,
2734,,Spot,Image 1,1,94,
2737,,Spot,Image 1,1,95,
2751,,Spot,Image 1,1,96,
2744,,Spot,Image 1,1,97,
2743,,Spot,Image 1,1,98,
2754,,Spot,Image 1,1,99,
2776,,Spot,Image 1,1,100,
2745,,Spot,Image 1,1,101,
2750,,Spot,Image 1,1,102,
2292,,Spot,Image 1,1,103,
2301,,Spot,Image 1,1,104,
2287,,Spot,Image 1,1,105,
2285,,Spot,Image 1,1,106,
2095,,Spot,Image 1,1,107,
2261,,Spot,Image 1,1,108,
2754,,Spot,Image 1,1,109,
2739,,Spot,Image 1,1,110,
2745,,Spot,Image 1,1,111,
2291,,Spot,Image 1,1,122,
2288,,Spot,Image 1,1,125,
2713,,Spot,Image 1,1,128,
2297,,Spot,Image 1,1,130,
2297,,Spot,Image 1,1,131,
2289,,Spot,Image 1,1,132,
2303,,Spot,Image 1,1,133,
2294,,Spot,Image 1,1,134,
1810,,Spot,Image 1,1,135,
2575,,Spot,Image 1,1,136,
2747,,Spot,Image 1,1,137,
2732,,Spot,Image 1,1,138,
2751,,Spot,Image 1,1,139,
2744,,Spot,Image 1,1,140,
2740,,Spot,Image 1,1,141,
2749,,Spot,Image 1,1,142,
2741,,Spot,Image 1,1,143,
2734,,Spot,Image 1,1,144,
2289,,Spot,Image 1,1,145,
2292,,Spot,Image 1,1,146,
2285,,Spot,Image 1,1,147,
2744,,Spot,Image 1,1,150,
2684,,Spot,Image 1,1,151,
2663,,Spot,Image 1,1,152,
2742,,Spot,Image 1,1,154,
2742,,Spot,Image 1,1,155,
2740,,Spot,Image 1,1,156,
2760,,Spot,Image 1,1,157,
2741,,Spot,Image 1,1,158,
2737,,Spot,Image 1,1,159,
2287,,Spot,Image 1,1,160,
2300,,Spot,Image 1,1,161,
2288,,Spot,Image 1,1,162,
2298,,Spot,Image 1,1,163,
2289,,Spot,Image 1,1,164,
2089,,Spot,Image 1,1,167,
2604,,Spot,Image 1,1,168,
2745,,Spot,Image 1,1,169,
2758,,Spot,Image 1,1,170,
2745,,Spot,Image 1,1,171,
2754,,Spot,Image 1,1,172,
2750,,Spot,Image 1,1,173,
2742,,Spot,Image 1,1,174,
2741,,Spot,Image 1,1,175,
2749,,Spot,Image 1,1,233,
2746,,Spot,Image 1,1,234,
2738,,Spot,Image 1,1,238,
2753,,Spot,Image 1,1,240,
2750,,Spot,Image 1,1,246,
2740,,Spot,Image 1,1,247,
2749,,Spot,Image 1,1,248,
2743,,Spot,Image 1,1,253,
2745,,Spot,Image 1,1,262,
2734,,Spot,Image 1,1,263,
2740,,Spot,Image 1,1,264,
2752,,Spot,Image 1,1,267,
2750,,Spot,Image 1,1,269,
2736,,Spot,Image 1,1,270,
2758,,Spot,Image 1,1,271,
2744,,Spot,Image 1,1,273,
2740,,Spot,Image 1,1,274,
2744,,Spot,Image 1,1,275,
2750,,Spot,Image 1,1,276,
2758,,Spot,Image 1,1,277,
2749,,Spot,Image 1,1,278,
2742,,Spot,Image 1,1,279,
2739,,Spot,Image 1,1,280,
2745,,Spot,Image 1,1,281,
2750,,Spot,Image 1,1,282,
2742,,Spot,Image 1,1,283,
2750,,Spot,Image 1,1,284,
