
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
31.0487,42.7694,1.2,um,Spot,Position,1,3,
38.6751,39.1905,0.728085,um,Spot,Position,1,15,
52.3481,42.2249,2.72735,um,Spot,Position,1,18,
109.335,45.9378,1.2,um,Spot,Position,1,40,
114.458,47.7303,1.2,um,Spot,Position,1,41,
92.0714,41.1742,3.96407,um,Spot,Position,1,44,
25.7889,48.4367,1.2,um,Spot,Position,1,63,
32.2456,52.2568,1.2,um,Spot,Position,1,64,
25.7652,63.0023,1.2,um,Spot,Position,1,66,
24.2841,66.6974,1.42829,um,Spot,Position,1,70,
25.4528,76.7953,4.7006,um,Spot,Position,1,73,
33.4129,56.1222,5.56351,um,Spot,Position,1,74,
25.8788,59.6988,5.92654,um,Spot,Position,1,76,
29.5404,68.2711,7.56823,um,Spot,Position,1,80,
36.6129,50.4476,1.2,um,Spot,Position,1,81,
61.9929,61.55,1.2,um,Spot,Position,1,82,
39.6162,62.3588,1.2,um,Spot,Position,1,83,
52.2593,55.6124,0.71163,um,Spot,Position,1,84,
54.2472,58.487,3.69388,um,Spot,Position,1,85,
36.0444,51.4655,5.71621,um,Spot,Position,1,86,
48.2649,51.12,6.08452,um,Spot,Position,1,87,
36.7368,66.0904,5.90917,um,Spot,Position,1,88,
48.0061,68.8863,6.31554,um,Spot,Position,1,90,
73.2361,61.6491,1.2,um,Spot,Position,1,91,
68.6423,61.7259,1.2,um,Spot,Position,1,92,
81.6335,73.4732,1.36747,um,Spot,Position,1,93,
75.1169,48.9565,2.22438,um,Spot,Position,1,94,
84.2195,62.7865,2.72227,um,Spot,Position,1,95,
80.334,61.7619,3.1814,um,Spot,Position,1,96,
73.1757,75.1626,3.06195,um,Spot,Position,1,97,
68.9403,51.6649,4.1156,um,Spot,Position,1,98,
84.3579,48.6402,6.01747,um,Spot,Position,1,99,
73.9689,58.148,5.82853,um,Spot,Position,1,100,
63.6403,72.7612,7.02627,um,Spot,Position,1,101,
86.4018,74.7734,6.77281,um,Spot,Position,1,102,
91.0539,49.7582,1.2,um,Spot,Position,1,103,
106.422,53.1569,1.2,um,Spot,Position,1,104,
116.72,64.342,1.2,um,Spot,Position,1,105,
118.319,50.0895,1.2,um,Spot,Position,1,106,
93.5927,59.7905,0.900878,um,Spot,Position,1,107,
101.987,52.1447,1.16182,um,Spot,Position,1,108,
102.126,66.6129,3.13195,um,Spot,Position,1,109,
111.344,69.5588,3.68299,um,Spot,Position,1,110,
