
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,13,
5,5,5,um,Spot,Diameter,1,15,
5,5,5,um,Spot,Diameter,1,17,
5,5,5,um,Spot,Diameter,1,19,
5,5,5,um,Spot,Diameter,1,26,
5,5,5,um,Spot,Diameter,1,27,
5,5,5,um,Spot,Diameter,1,28,
5,5,5,um,Spot,Diameter,1,29,
5,5,5,um,Spot,Diameter,1,30,
5,5,5,um,Spot,Diameter,1,31,
5,5,5,um,Spot,Diameter,1,33,
5,5,5,um,Spot,Diameter,1,36,
5,5,5,um,Spot,Diameter,1,38,
5,5,5,um,Spot,Diameter,1,40,
5,5,5,um,Spot,Diameter,1,45,
5,5,5,um,Spot,Diameter,1,61,
5,5,5,um,Spot,Diameter,1,65,
5,5,5,um,Spot,Diameter,1,66,
5,5,5,um,Spot,Diameter,1,67,
5,5,5,um,Spot,Diameter,1,71,
5,5,5,um,Spot,Diameter,1,72,
5,5,5,um,Spot,Diameter,1,73,
5,5,5,um,Spot,Diameter,1,74,
5,5,5,um,Spot,Diameter,1,75,
5,5,5,um,Spot,Diameter,1,76,
5,5,5,um,Spot,Diameter,1,77,
5,5,5,um,Spot,Diameter,1,78,
5,5,5,um,Spot,Diameter,1,79,
5,5,5,um,Spot,Diameter,1,80,
5,5,5,um,Spot,Diameter,1,81,
5,5,5,um,Spot,Diameter,1,82,
5,5,5,um,Spot,Diameter,1,83,
5,5,5,um,Spot,Diameter,1,84,
5,5,5,um,Spot,Diameter,1,85,
5,5,5,um,Spot,Diameter,1,86,
5,5,5,um,Spot,Diameter,1,87,
5,5,5,um,Spot,Diameter,1,88,
5,5,5,um,Spot,Diameter,1,89,
5,5,5,um,Spot,Diameter,1,90,
5,5,5,um,Spot,Diameter,1,91,
5,5,5,um,Spot,Diameter,1,92,
5,5,5,um,Spot,Diameter,1,93,
5,5,5,um,Spot,Diameter,1,94,
5,5,5,um,Spot,Diameter,1,95,
5,5,5,um,Spot,Diameter,1,96,
5,5,5,um,Spot,Diameter,1,97,
5,5,5,um,Spot,Diameter,1,98,
5,5,5,um,Spot,Diameter,1,99,
5,5,5,um,Spot,Diameter,1,100,
5,5,5,um,Spot,Diameter,1,101,
5,5,5,um,Spot,Diameter,1,102,
5,5,5,um,Spot,Diameter,1,103,
5,5,5,um,Spot,Diameter,1,104,
5,5,5,um,Spot,Diameter,1,105,
5,5,5,um,Spot,Diameter,1,106,
5,5,5,um,Spot,Diameter,1,107,
5,5,5,um,Spot,Diameter,1,108,
5,5,5,um,Spot,Diameter,1,117,
5,5,5,um,Spot,Diameter,1,121,
5,5,5,um,Spot,Diameter,1,122,
5,5,5,um,Spot,Diameter,1,124,
5,5,5,um,Spot,Diameter,1,128,
5,5,5,um,Spot,Diameter,1,129,
5,5,5,um,Spot,Diameter,1,130,
5,5,5,um,Spot,Diameter,1,131,
5,5,5,um,Spot,Diameter,1,132,
5,5,5,um,Spot,Diameter,1,133,
5,5,5,um,Spot,Diameter,1,134,
5,5,5,um,Spot,Diameter,1,136,
5,5,5,um,Spot,Diameter,1,137,
5,5,5,um,Spot,Diameter,1,139,
5,5,5,um,Spot,Diameter,1,140,
5,5,5,um,Spot,Diameter,1,141,
5,5,5,um,Spot,Diameter,1,142,
5,5,5,um,Spot,Diameter,1,143,
5,5,5,um,Spot,Diameter,1,144,
5,5,5,um,Spot,Diameter,1,145,
5,5,5,um,Spot,Diameter,1,146,
5,5,5,um,Spot,Diameter,1,147,
5,5,5,um,Spot,Diameter,1,148,
5,5,5,um,Spot,Diameter,1,149,
5,5,5,um,Spot,Diameter,1,150,
5,5,5,um,Spot,Diameter,1,151,
5,5,5,um,Spot,Diameter,1,152,
5,5,5,um,Spot,Diameter,1,153,
5,5,5,um,Spot,Diameter,1,154,
5,5,5,um,Spot,Diameter,1,155,
5,5,5,um,Spot,Diameter,1,156,
5,5,5,um,Spot,Diameter,1,157,
5,5,5,um,Spot,Diameter,1,159,
5,5,5,um,Spot,Diameter,1,160,
5,5,5,um,Spot,Diameter,1,162,
5,5,5,um,Spot,Diameter,1,163,
5,5,5,um,Spot,Diameter,1,164,
5,5,5,um,Spot,Diameter,1,165,
5,5,5,um,Spot,Diameter,1,166,
5,5,5,um,Spot,Diameter,1,171,
5,5,5,um,Spot,Diameter,1,173,
5,5,5,um,Spot,Diameter,1,219,
5,5,5,um,Spot,Diameter,1,220,
5,5,5,um,Spot,Diameter,1,223,
