
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
56.9012,um,Spot,Distance from Origin,1,13,
52.0059,um,Spot,Distance from Origin,1,15,
48.4477,um,Spot,Distance from Origin,1,17,
62.8498,um,Spot,Distance from Origin,1,19,
86.2566,um,Spot,Distance from Origin,1,26,
85.1088,um,Spot,Distance from Origin,1,27,
72.1554,um,Spot,Distance from Origin,1,28,
90.9831,um,Spot,Distance from Origin,1,29,
86.3356,um,Spot,Distance from Origin,1,30,
85.192,um,Spot,Distance from Origin,1,31,
94.9504,um,Spot,Distance from Origin,1,33,
106.574,um,Spot,Distance from Origin,1,36,
95.6177,um,Spot,Distance from Origin,1,38,
116.564,um,Spot,Distance from Origin,1,40,
120.804,um,Spot,Distance from Origin,1,45,
54.8025,um,Spot,Distance from Origin,1,61,
65.8676,um,Spot,Distance from Origin,1,65,
46.3928,um,Spot,Distance from Origin,1,66,
64.5089,um,Spot,Distance from Origin,1,67,
55.5527,um,Spot,Distance from Origin,1,71,
72.5398,um,Spot,Distance from Origin,1,72,
63.218,um,Spot,Distance from Origin,1,73,
79.2032,um,Spot,Distance from Origin,1,74,
74.7089,um,Spot,Distance from Origin,1,75,
63.6409,um,Spot,Distance from Origin,1,76,
57.4195,um,Spot,Distance from Origin,1,77,
57.0209,um,Spot,Distance from Origin,1,78,
70.8249,um,Spot,Distance from Origin,1,79,
64.2082,um,Spot,Distance from Origin,1,80,
50.543,um,Spot,Distance from Origin,1,81,
76.741,um,Spot,Distance from Origin,1,82,
93.2469,um,Spot,Distance from Origin,1,83,
90.8328,um,Spot,Distance from Origin,1,84,
89.2656,um,Spot,Distance from Origin,1,85,
82.5533,um,Spot,Distance from Origin,1,86,
75.1554,um,Spot,Distance from Origin,1,87,
99.9577,um,Spot,Distance from Origin,1,88,
105.939,um,Spot,Distance from Origin,1,89,
81.7653,um,Spot,Distance from Origin,1,90,
85.8972,um,Spot,Distance from Origin,1,91,
98.1837,um,Spot,Distance from Origin,1,92,
81.5622,um,Spot,Distance from Origin,1,93,
100.004,um,Spot,Distance from Origin,1,94,
121.398,um,Spot,Distance from Origin,1,95,
102.379,um,Spot,Distance from Origin,1,96,
104.777,um,Spot,Distance from Origin,1,97,
126.016,um,Spot,Distance from Origin,1,98,
117.295,um,Spot,Distance from Origin,1,99,
109.081,um,Spot,Distance from Origin,1,100,
118.365,um,Spot,Distance from Origin,1,101,
121.927,um,Spot,Distance from Origin,1,102,
110.832,um,Spot,Distance from Origin,1,103,
109.716,um,Spot,Distance from Origin,1,104,
115.726,um,Spot,Distance from Origin,1,105,
108.178,um,Spot,Distance from Origin,1,106,
123.538,um,Spot,Distance from Origin,1,107,
102.455,um,Spot,Distance from Origin,1,108,
131.414,um,Spot,Distance from Origin,1,117,
70.7645,um,Spot,Distance from Origin,1,121,
72.4799,um,Spot,Distance from Origin,1,122,
80.6121,um,Spot,Distance from Origin,1,124,
74.0912,um,Spot,Distance from Origin,1,128,
78.5928,um,Spot,Distance from Origin,1,129,
84.1984,um,Spot,Distance from Origin,1,130,
82.9276,um,Spot,Distance from Origin,1,131,
94.0067,um,Spot,Distance from Origin,1,132,
91.5463,um,Spot,Distance from Origin,1,133,
89.0225,um,Spot,Distance from Origin,1,134,
102.418,um,Spot,Distance from Origin,1,136,
79.4173,um,Spot,Distance from Origin,1,137,
87.3245,um,Spot,Distance from Origin,1,139,
76.7959,um,Spot,Distance from Origin,1,140,
87.9242,um,Spot,Distance from Origin,1,141,
97.622,um,Spot,Distance from Origin,1,142,
103.765,um,Spot,Distance from Origin,1,143,
95.6925,um,Spot,Distance from Origin,1,144,
104.493,um,Spot,Distance from Origin,1,145,
99.6969,um,Spot,Distance from Origin,1,146,
118.794,um,Spot,Distance from Origin,1,147,
117.043,um,Spot,Distance from Origin,1,148,
105.701,um,Spot,Distance from Origin,1,149,
111.299,um,Spot,Distance from Origin,1,150,
104.933,um,Spot,Distance from Origin,1,151,
112.344,um,Spot,Distance from Origin,1,152,
110.397,um,Spot,Distance from Origin,1,153,
90.6328,um,Spot,Distance from Origin,1,154,
107.53,um,Spot,Distance from Origin,1,155,
118.748,um,Spot,Distance from Origin,1,156,
113.83,um,Spot,Distance from Origin,1,157,
137.408,um,Spot,Distance from Origin,1,159,
130.832,um,Spot,Distance from Origin,1,160,
115.105,um,Spot,Distance from Origin,1,162,
123.982,um,Spot,Distance from Origin,1,163,
130.642,um,Spot,Distance from Origin,1,164,
126.872,um,Spot,Distance from Origin,1,165,
128.841,um,Spot,Distance from Origin,1,166,
145.468,um,Spot,Distance from Origin,1,171,
141.823,um,Spot,Distance from Origin,1,173,
51.5758,um,Spot,Distance from Origin,1,219,
66.5155,um,Spot,Distance from Origin,1,220,
56.9751,um,Spot,Distance from Origin,1,223,
80.0275,um,Spot,Distance from Origin,1,228,
75.2288,um,Spot,Distance from Origin,1,230,
98.8265,um,Spot,Distance from Origin,1,237,
109.076,um,Spot,Distance from Origin,1,242,
62.9349,um,Spot,Distance from Origin,1,266,
70.3546,um,Spot,Distance from Origin,1,267,
78.259,um,Spot,Distance from Origin,1,270,
55.0218,um,Spot,Distance from Origin,1,271,
62.4361,um,Spot,Distance from Origin,1,272,
69.2191,um,Spot,Distance from Origin,1,273,
65.5348,um,Spot,Distance from Origin,1,274,
60.55,um,Spot,Distance from Origin,1,275,
58.8204,um,Spot,Distance from Origin,1,276,
72.1036,um,Spot,Distance from Origin,1,277,
71.6674,um,Spot,Distance from Origin,1,278,
80.0617,um,Spot,Distance from Origin,1,279,
65.4685,um,Spot,Distance from Origin,1,280,
83.8676,um,Spot,Distance from Origin,1,281,
94.7778,um,Spot,Distance from Origin,1,282,
104.428,um,Spot,Distance from Origin,1,283,
82.1976,um,Spot,Distance from Origin,1,284,
91.7831,um,Spot,Distance from Origin,1,285,
91.1728,um,Spot,Distance from Origin,1,286,
