
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Spot,Image 1,1,13,
0,um,Spot,Image 1,1,15,
0.546999,um,Spot,Image 1,1,17,
3.24329,um,Spot,Image 1,1,19,
0,um,Spot,Image 1,1,26,
0,um,Spot,Image 1,1,27,
0.986467,um,Spot,Image 1,1,28,
1.5645,um,Spot,Image 1,1,29,
2.72437,um,Spot,Image 1,1,30,
5.12817,um,Spot,Image 1,1,31,
0,um,Spot,Image 1,1,33,
0.0946562,um,Spot,Image 1,1,36,
2.72451,um,Spot,Image 1,1,38,
3.90184,um,Spot,Image 1,1,40,
0,um,Spot,Image 1,1,45,
0,um,Spot,Image 1,1,61,
0,um,Spot,Image 1,1,65,
0,um,Spot,Image 1,1,66,
0.120228,um,Spot,Image 1,1,67,
0,um,Spot,Image 1,1,71,
0,um,Spot,Image 1,1,72,
0,um,Spot,Image 1,1,73,
0,um,Spot,Image 1,1,74,
0,um,Spot,Image 1,1,75,
0,um,Spot,Image 1,1,76,
0,um,Spot,Image 1,1,77,
0.290254,um,Spot,Image 1,1,78,
0,um,Spot,Image 1,1,79,
2.74205,um,Spot,Image 1,1,80,
3.15875,um,Spot,Image 1,1,81,
0,um,Spot,Image 1,1,82,
0,um,Spot,Image 1,1,83,
0,um,Spot,Image 1,1,84,
0,um,Spot,Image 1,1,85,
0,um,Spot,Image 1,1,86,
0,um,Spot,Image 1,1,87,
0,um,Spot,Image 1,1,88,
0,um,Spot,Image 1,1,89,
1.84039,um,Spot,Image 1,1,90,
2.10469,um,Spot,Image 1,1,91,
2.14909,um,Spot,Image 1,1,92,
2.46639,um,Spot,Image 1,1,93,
4.48919,um,Spot,Image 1,1,94,
0,um,Spot,Image 1,1,95,
0,um,Spot,Image 1,1,96,
0,um,Spot,Image 1,1,97,
0,um,Spot,Image 1,1,98,
0,um,Spot,Image 1,1,99,
0,um,Spot,Image 1,1,100,
0,um,Spot,Image 1,1,101,
0,um,Spot,Image 1,1,102,
0,um,Spot,Image 1,1,103,
0,um,Spot,Image 1,1,104,
2.1146,um,Spot,Image 1,1,105,
3.91733,um,Spot,Image 1,1,106,
4.4422,um,Spot,Image 1,1,107,
4.9313,um,Spot,Image 1,1,108,
0.235677,um,Spot,Image 1,1,117,
0,um,Spot,Image 1,1,121,
0,um,Spot,Image 1,1,122,
0,um,Spot,Image 1,1,124,
2.16532,um,Spot,Image 1,1,128,
3.04512,um,Spot,Image 1,1,129,
0,um,Spot,Image 1,1,130,
0,um,Spot,Image 1,1,131,
0,um,Spot,Image 1,1,132,
0,um,Spot,Image 1,1,133,
0,um,Spot,Image 1,1,134,
0,um,Spot,Image 1,1,136,
0,um,Spot,Image 1,1,137,
0,um,Spot,Image 1,1,139,
2.14602,um,Spot,Image 1,1,140,
1.94414,um,Spot,Image 1,1,141,
3.87048,um,Spot,Image 1,1,142,
5.02819,um,Spot,Image 1,1,143,
0,um,Spot,Image 1,1,144,
0,um,Spot,Image 1,1,145,
0,um,Spot,Image 1,1,146,
0,um,Spot,Image 1,1,147,
0,um,Spot,Image 1,1,148,
0,um,Spot,Image 1,1,149,
0,um,Spot,Image 1,1,150,
0,um,Spot,Image 1,1,151,
1.11322,um,Spot,Image 1,1,152,
2.62267,um,Spot,Image 1,1,153,
3.919,um,Spot,Image 1,1,154,
4.72277,um,Spot,Image 1,1,155,
4.7995,um,Spot,Image 1,1,156,
0,um,Spot,Image 1,1,157,
0,um,Spot,Image 1,1,159,
0,um,Spot,Image 1,1,160,
0,um,Spot,Image 1,1,162,
0,um,Spot,Image 1,1,163,
0,um,Spot,Image 1,1,164,
2.97685,um,Spot,Image 1,1,165,
4.38244,um,Spot,Image 1,1,166,
0,um,Spot,Image 1,1,171,
0,um,Spot,Image 1,1,173,
6.25351,um,Spot,Image 1,1,219,
7.28084,um,Spot,Image 1,1,220,
8.96863,um,Spot,Image 1,1,223,
6.78234,um,Spot,Image 1,1,228,
8.73923,um,Spot,Image 1,1,230,
5.48509,um,Spot,Image 1,1,237,
7.26435,um,Spot,Image 1,1,242,
5.26503,um,Spot,Image 1,1,266,
5.89756,um,Spot,Image 1,1,267,
7.71691,um,Spot,Image 1,1,270,
8.23019,um,Spot,Image 1,1,271,
8.87062,um,Spot,Image 1,1,272,
8.63981,um,Spot,Image 1,1,273,
9.2713,um,Spot,Image 1,1,274,
9.07866,um,Spot,Image 1,1,275,
9.88656,um,Spot,Image 1,1,276,
10.2539,um,Spot,Image 1,1,277,
11.521,um,Spot,Image 1,1,278,
11.7287,um,Spot,Image 1,1,279,
12.0154,um,Spot,Image 1,1,280,
6.03465,um,Spot,Image 1,1,281,
5.71207,um,Spot,Image 1,1,282,
5.83257,um,Spot,Image 1,1,283,
7.72904,um,Spot,Image 1,1,284,
8.79126,um,Spot,Image 1,1,285,
9.15307,um,Spot,Image 1,1,286,
9.5687,um,Spot,Image 1,1,287,
10.6579,um,Spot,Image 1,1,288,
6.34517,um,Spot,Image 1,1,289,
6.71177,um,Spot,Image 1,1,290,
6.95921,um,Spot,Image 1,1,291,
8.51098,um,Spot,Image 1,1,292,
10.1249,um,Spot,Image 1,1,293,
10.767,um,Spot,Image 1,1,294,
10.5353,um,Spot,Image 1,1,295,
12.1231,um,Spot,Image 1,1,296,
12.5066,um,Spot,Image 1,1,297,
12.4808,um,Spot,Image 1,1,298,
5.33681,um,Spot,Image 1,1,300,
6.03118,um,Spot,Image 1,1,303,
11.236,um,Spot,Image 1,1,311,
11.7711,um,Spot,Image 1,1,312,
5.65267,um,Spot,Image 1,1,318,
5.20412,um,Spot,Image 1,1,319,
5.26351,um,Spot,Image 1,1,320,
6.09186,um,Spot,Image 1,1,321,
6.69211,um,Spot,Image 1,1,322,
7.40891,um,Spot,Image 1,1,323,
9.6317,um,Spot,Image 1,1,324,
10.2887,um,Spot,Image 1,1,325,
10.3353,um,Spot,Image 1,1,326,
10.6251,um,Spot,Image 1,1,328,
11.6836,um,Spot,Image 1,1,329,
11.6431,um,Spot,Image 1,1,330,
12.0843,um,Spot,Image 1,1,331,
5.44918,um,Spot,Image 1,1,332,
6.47511,um,Spot,Image 1,1,333,
7.43502,um,Spot,Image 1,1,334,
9.40433,um,Spot,Image 1,1,336,
9.68599,um,Spot,Image 1,1,337,
9.76207,um,Spot,Image 1,1,338,
9.58383,um,Spot,Image 1,1,339,
11.1664,um,Spot,Image 1,1,340,
6.9996,um,Spot,Image 1,1,342,
7.41037,um,Spot,Image 1,1,343,
7.12403,um,Spot,Image 1,1,344,
7.56506,um,Spot,Image 1,1,345,
7.83745,um,Spot,Image 1,1,347,
8.25147,um,Spot,Image 1,1,348,
8.93461,um,Spot,Image 1,1,349,
11.2381,um,Spot,Image 1,1,350,
11.5449,um,Spot,Image 1,1,351,
12.2233,um,Spot,Image 1,1,352,
12.3532,um,Spot,Image 1,1,353,
15.6127,um,Spot,Image 1,1,397,
15.4648,um,Spot,Image 1,1,398,
13.1476,um,Spot,Image 1,1,436,
15.0861,um,Spot,Image 1,1,437,
16.1981,um,Spot,Image 1,1,438,
16.115,um,Spot,Image 1,1,440,
14.5196,um,Spot,Image 1,1,442,
13.1898,um,Spot,Image 1,1,443,
15.1227,um,Spot,Image 1,1,444,
15.4438,um,Spot,Image 1,1,445,
15.0788,um,Spot,Image 1,1,446,
15.0632,um,Spot,Image 1,1,447,
13.9062,um,Spot,Image 1,1,448,
14.2835,um,Spot,Image 1,1,449,
16.3018,um,Spot,Image 1,1,450,
15.9265,um,Spot,Image 1,1,451,
15.6267,um,Spot,Image 1,1,453,
14.6285,um,Spot,Image 1,1,454,
14.5543,um,Spot,Image 1,1,455,
14.3799,um,Spot,Image 1,1,456,
16.0675,um,Spot,Image 1,1,462,
16.4375,um,Spot,Image 1,1,469,
16.6077,um,Spot,Image 1,1,470,
15.0961,um,Spot,Image 1,1,471,
12.9537,um,Spot,Image 1,1,472,
12.917,um,Spot,Image 1,1,473,
13.6288,um,Spot,Image 1,1,474,
16.4331,um,Spot,Image 1,1,475,
16.1778,um,Spot,Image 1,1,476,
15.9253,um,Spot,Image 1,1,477,
13.4565,um,Spot,Image 1,1,478,
13.663,um,Spot,Image 1,1,479,
13.4731,um,Spot,Image 1,1,480,
15.9528,um,Spot,Image 1,1,481,
16.1363,um,Spot,Image 1,1,482,
16.0586,um,Spot,Image 1,1,483,
16.7652,um,Spot,Image 1,1,484,
16.3046,um,Spot,Image 1,1,485,
16.6024,um,Spot,Image 1,1,486,
15.618,um,Spot,Image 1,1,487,
14.6221,um,Spot,Image 1,1,488,
14.6525,um,Spot,Image 1,1,489,
14.392,um,Spot,Image 1,1,490,
16.7316,um,Spot,Image 1,1,498,
12.6369,um,Spot,Image 1,1,548,
11.9573,um,Spot,Image 1,1,549,
10.0548,um,Spot,Image 1,1,550,
9.8548,um,Spot,Image 1,1,552,
6.95005,um,Spot,Image 1,1,554,
13.0476,um,Spot,Image 1,1,555,
12.6539,um,Spot,Image 1,1,556,
12.2168,um,Spot,Image 1,1,557,
12.3157,um,Spot,Image 1,1,558,
12.0676,um,Spot,Image 1,1,559,
11.719,um,Spot,Image 1,1,560,
10.2256,um,Spot,Image 1,1,561,
8.67407,um,Spot,Image 1,1,562,
8.58674,um,Spot,Image 1,1,563,
6.96094,um,Spot,Image 1,1,564,
7.00934,um,Spot,Image 1,1,565,
6.15356,um,Spot,Image 1,1,566,
12.8045,um,Spot,Image 1,1,567,
11.9753,um,Spot,Image 1,1,568,
12.1749,um,Spot,Image 1,1,569,
7.03172,um,Spot,Image 1,1,570,
7.01275,um,Spot,Image 1,1,571,
6.25634,um,Spot,Image 1,1,572,
6.44952,um,Spot,Image 1,1,573,
11.2316,um,Spot,Image 1,1,575,
13.2616,um,Spot,Image 1,1,580,
12.0575,um,Spot,Image 1,1,581,
11.125,um,Spot,Image 1,1,583,
11.1698,um,Spot,Image 1,1,584,
10.749,um,Spot,Image 1,1,585,
10.3356,um,Spot,Image 1,1,586,
9.58905,um,Spot,Image 1,1,587,
9.37804,um,Spot,Image 1,1,588,
8.96301,um,Spot,Image 1,1,589,
7.62474,um,Spot,Image 1,1,590,
11.615,um,Spot,Image 1,1,592,
11.4304,um,Spot,Image 1,1,593,
10.9207,um,Spot,Image 1,1,594,
9.30066,um,Spot,Image 1,1,595,
9.49082,um,Spot,Image 1,1,596,
9.45539,um,Spot,Image 1,1,597,
9.0499,um,Spot,Image 1,1,598,
8.87014,um,Spot,Image 1,1,599,
8.98456,um,Spot,Image 1,1,600,
7.21855,um,Spot,Image 1,1,601,
6.15029,um,Spot,Image 1,1,602,
6.09716,um,Spot,Image 1,1,603,
5.96148,um,Spot,Image 1,1,604,
6.09948,um,Spot,Image 1,1,605,
13.2034,um,Spot,Image 1,1,607,
10.6822,um,Spot,Image 1,1,610,
5.55129,um,Spot,Image 1,1,624,
5.62159,um,Spot,Image 1,1,625,
5.5995,um,Spot,Image 1,1,630,
5.58294,um,Spot,Image 1,1,640,
4.53395,um,Spot,Image 1,1,645,
11.66,um,Spot,Image 1,1,55413,
12.14,um,Spot,Image 1,1,55414,
11.8654,um,Spot,Image 1,1,55415,
14.54,um,Spot,Image 1,1,55416,
10.22,um,Spot,Image 1,1,55417,
12.7809,um,Spot,Image 1,1,55418,
11.5185,um,Spot,Image 1,1,55420,
12.2601,um,Spot,Image 1,1,55421,
11.66,um,Spot,Image 1,1,55422,
