
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
19.2271,um,Spot,Image 1,1,13,
24.2593,um,Spot,Image 1,1,15,
22.6846,um,Spot,Image 1,1,17,
20.4406,um,Spot,Image 1,1,19,
18.0791,um,Spot,Image 1,1,26,
22.9235,um,Spot,Image 1,1,27,
20.3126,um,Spot,Image 1,1,28,
19.0738,um,Spot,Image 1,1,29,
25.7061,um,Spot,Image 1,1,30,
17.9127,um,Spot,Image 1,1,31,
19.9019,um,Spot,Image 1,1,33,
25.9312,um,Spot,Image 1,1,36,
19.568,um,Spot,Image 1,1,38,
21.574,um,Spot,Image 1,1,40,
19.5682,um,Spot,Image 1,1,45,
18.1396,um,Spot,Image 1,1,61,
21.6494,um,Spot,Image 1,1,65,
19.4752,um,Spot,Image 1,1,66,
18.2057,um,Spot,Image 1,1,67,
32.0823,um,Spot,Image 1,1,71,
38.4807,um,Spot,Image 1,1,72,
35.8078,um,Spot,Image 1,1,73,
43.2723,um,Spot,Image 1,1,74,
33.6574,um,Spot,Image 1,1,75,
34.7701,um,Spot,Image 1,1,76,
27.5119,um,Spot,Image 1,1,77,
28.0605,um,Spot,Image 1,1,78,
40.2285,um,Spot,Image 1,1,79,
28.106,um,Spot,Image 1,1,80,
27.5601,um,Spot,Image 1,1,81,
27.2687,um,Spot,Image 1,1,82,
33.0506,um,Spot,Image 1,1,83,
42.4299,um,Spot,Image 1,1,84,
47.1494,um,Spot,Image 1,1,85,
38.4297,um,Spot,Image 1,1,86,
35.7033,um,Spot,Image 1,1,87,
42.7771,um,Spot,Image 1,1,88,
48.2538,um,Spot,Image 1,1,89,
45.1129,um,Spot,Image 1,1,90,
45.5965,um,Spot,Image 1,1,91,
46.2579,um,Spot,Image 1,1,92,
26.8805,um,Spot,Image 1,1,93,
43.324,um,Spot,Image 1,1,94,
21.8629,um,Spot,Image 1,1,95,
29.8461,um,Spot,Image 1,1,96,
42.222,um,Spot,Image 1,1,97,
22.8765,um,Spot,Image 1,1,98,
34.4953,um,Spot,Image 1,1,99,
46.394,um,Spot,Image 1,1,100,
36.6663,um,Spot,Image 1,1,101,
32.2069,um,Spot,Image 1,1,102,
36.2337,um,Spot,Image 1,1,103,
41.1831,um,Spot,Image 1,1,104,
31.8374,um,Spot,Image 1,1,105,
47.5749,um,Spot,Image 1,1,106,
26.9625,um,Spot,Image 1,1,107,
37.3048,um,Spot,Image 1,1,108,
21.3233,um,Spot,Image 1,1,117,
24.1617,um,Spot,Image 1,1,121,
18.7225,um,Spot,Image 1,1,122,
20.4991,um,Spot,Image 1,1,124,
25.075,um,Spot,Image 1,1,128,
22.7814,um,Spot,Image 1,1,129,
40.8248,um,Spot,Image 1,1,130,
33.6472,um,Spot,Image 1,1,131,
31.2522,um,Spot,Image 1,1,132,
27.9819,um,Spot,Image 1,1,133,
26.6762,um,Spot,Image 1,1,134,
22.462,um,Spot,Image 1,1,136,
28.8639,um,Spot,Image 1,1,137,
41.2531,um,Spot,Image 1,1,139,
36.0649,um,Spot,Image 1,1,140,
35.5907,um,Spot,Image 1,1,141,
24.9633,um,Spot,Image 1,1,142,
22.7872,um,Spot,Image 1,1,143,
41.246,um,Spot,Image 1,1,144,
38.4262,um,Spot,Image 1,1,145,
29.055,um,Spot,Image 1,1,146,
25.5339,um,Spot,Image 1,1,147,
22.1147,um,Spot,Image 1,1,148,
32.8688,um,Spot,Image 1,1,149,
30.7474,um,Spot,Image 1,1,150,
28.3491,um,Spot,Image 1,1,151,
20.5045,um,Spot,Image 1,1,152,
37.4592,um,Spot,Image 1,1,153,
42.6211,um,Spot,Image 1,1,154,
30.3367,um,Spot,Image 1,1,155,
22.4908,um,Spot,Image 1,1,156,
36.4765,um,Spot,Image 1,1,157,
23.8618,um,Spot,Image 1,1,159,
28.7337,um,Spot,Image 1,1,160,
41.6889,um,Spot,Image 1,1,162,
27.1861,um,Spot,Image 1,1,163,
29.201,um,Spot,Image 1,1,164,
25.4121,um,Spot,Image 1,1,165,
25.9867,um,Spot,Image 1,1,166,
21.1394,um,Spot,Image 1,1,171,
18.1574,um,Spot,Image 1,1,173,
20.4354,um,Spot,Image 1,1,219,
25.4209,um,Spot,Image 1,1,220,
21.3695,um,Spot,Image 1,1,223,
20.9028,um,Spot,Image 1,1,228,
21.1615,um,Spot,Image 1,1,230,
21.4655,um,Spot,Image 1,1,237,
22.9168,um,Spot,Image 1,1,242,
20.7244,um,Spot,Image 1,1,266,
23.8648,um,Spot,Image 1,1,267,
42.9372,um,Spot,Image 1,1,270,
28.1315,um,Spot,Image 1,1,271,
33.5353,um,Spot,Image 1,1,272,
26.3527,um,Spot,Image 1,1,273,
37.0282,um,Spot,Image 1,1,274,
27.1095,um,Spot,Image 1,1,275,
26.4085,um,Spot,Image 1,1,276,
31.2933,um,Spot,Image 1,1,277,
33.4842,um,Spot,Image 1,1,278,
41.3621,um,Spot,Image 1,1,279,
28.2378,um,Spot,Image 1,1,280,
35.0565,um,Spot,Image 1,1,281,
48.1918,um,Spot,Image 1,1,282,
49.5492,um,Spot,Image 1,1,283,
40.3521,um,Spot,Image 1,1,284,
33.317,um,Spot,Image 1,1,285,
46.2911,um,Spot,Image 1,1,286,
47.6191,um,Spot,Image 1,1,287,
47.3462,um,Spot,Image 1,1,288,
28.5201,um,Spot,Image 1,1,289,
28.8619,um,Spot,Image 1,1,290,
36.6173,um,Spot,Image 1,1,291,
38.5433,um,Spot,Image 1,1,292,
23.1002,um,Spot,Image 1,1,293,
27.2881,um,Spot,Image 1,1,294,
28.7103,um,Spot,Image 1,1,295,
32.923,um,Spot,Image 1,1,296,
36.4498,um,Spot,Image 1,1,297,
