
Intensity Center Ch=1 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
692,,Spot,1,Image 1,1,13,
544,,Spot,1,Image 1,1,15,
150,,Spot,1,Image 1,1,17,
68,,Spot,1,Image 1,1,19,
695,,Spot,1,Image 1,1,26,
0,,Spot,1,Image 1,1,27,
861,,Spot,1,Image 1,1,28,
512,,Spot,1,Image 1,1,29,
643,,Spot,1,Image 1,1,30,
432,,Spot,1,Image 1,1,31,
148,,Spot,1,Image 1,1,33,
380,,Spot,1,Image 1,1,36,
318,,Spot,1,Image 1,1,38,
467,,Spot,1,Image 1,1,40,
361,,Spot,1,Image 1,1,45,
445,,Spot,1,Image 1,1,61,
1031,,Spot,1,Image 1,1,65,
439,,Spot,1,Image 1,1,66,
181,,Spot,1,Image 1,1,67,
338,,Spot,1,Image 1,1,71,
203,,Spot,1,Image 1,1,72,
361,,Spot,1,Image 1,1,73,
119,,Spot,1,Image 1,1,74,
545,,Spot,1,Image 1,1,75,
613,,Spot,1,Image 1,1,76,
388,,Spot,1,Image 1,1,77,
243,,Spot,1,Image 1,1,78,
610,,Spot,1,Image 1,1,79,
0,,Spot,1,Image 1,1,80,
276,,Spot,1,Image 1,1,81,
802,,Spot,1,Image 1,1,82,
286,,Spot,1,Image 1,1,83,
481,,Spot,1,Image 1,1,84,
439,,Spot,1,Image 1,1,85,
117,,Spot,1,Image 1,1,86,
388,,Spot,1,Image 1,1,87,
1,,Spot,1,Image 1,1,88,
525,,Spot,1,Image 1,1,89,
498,,Spot,1,Image 1,1,90,
205,,Spot,1,Image 1,1,91,
815,,Spot,1,Image 1,1,92,
340,,Spot,1,Image 1,1,93,
324,,Spot,1,Image 1,1,94,
251,,Spot,1,Image 1,1,95,
605,,Spot,1,Image 1,1,96,
292,,Spot,1,Image 1,1,97,
806,,Spot,1,Image 1,1,98,
100,,Spot,1,Image 1,1,99,
1032,,Spot,1,Image 1,1,100,
297,,Spot,1,Image 1,1,101,
241,,Spot,1,Image 1,1,102,
421,,Spot,1,Image 1,1,103,
206,,Spot,1,Image 1,1,104,
724,,Spot,1,Image 1,1,105,
22,,Spot,1,Image 1,1,106,
356,,Spot,1,Image 1,1,107,
565,,Spot,1,Image 1,1,108,
434,,Spot,1,Image 1,1,117,
1101,,Spot,1,Image 1,1,121,
389,,Spot,1,Image 1,1,122,
559,,Spot,1,Image 1,1,124,
766,,Spot,1,Image 1,1,128,
82,,Spot,1,Image 1,1,129,
882,,Spot,1,Image 1,1,130,
579,,Spot,1,Image 1,1,131,
697,,Spot,1,Image 1,1,132,
619,,Spot,1,Image 1,1,133,
903,,Spot,1,Image 1,1,134,
628,,Spot,1,Image 1,1,136,
928,,Spot,1,Image 1,1,137,
98,,Spot,1,Image 1,1,139,
614,,Spot,1,Image 1,1,140,
939,,Spot,1,Image 1,1,141,
564,,Spot,1,Image 1,1,142,
1081,,Spot,1,Image 1,1,143,
724,,Spot,1,Image 1,1,144,
3,,Spot,1,Image 1,1,145,
1216,,Spot,1,Image 1,1,146,
389,,Spot,1,Image 1,1,147,
484,,Spot,1,Image 1,1,148,
434,,Spot,1,Image 1,1,149,
33,,Spot,1,Image 1,1,150,
121,,Spot,1,Image 1,1,151,
243,,Spot,1,Image 1,1,152,
0,,Spot,1,Image 1,1,153,
175,,Spot,1,Image 1,1,154,
461,,Spot,1,Image 1,1,155,
388,,Spot,1,Image 1,1,156,
144,,Spot,1,Image 1,1,157,
588,,Spot,1,Image 1,1,159,
686,,Spot,1,Image 1,1,160,
330,,Spot,1,Image 1,1,162,
149,,Spot,1,Image 1,1,163,
208,,Spot,1,Image 1,1,164,
507,,Spot,1,Image 1,1,165,
278,,Spot,1,Image 1,1,166,
784,,Spot,1,Image 1,1,171,
610,,Spot,1,Image 1,1,173,
293,,Spot,1,Image 1,1,219,
261,,Spot,1,Image 1,1,220,
329,,Spot,1,Image 1,1,223,
119,,Spot,1,Image 1,1,228,
