
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
3425,,Spot,1,Image 1,1,13,
2588,,Spot,1,Image 1,1,15,
3339,,Spot,1,Image 1,1,17,
2552,,Spot,1,Image 1,1,19,
3714,,Spot,1,Image 1,1,26,
2092,,Spot,1,Image 1,1,27,
3397,,Spot,1,Image 1,1,28,
2280,,Spot,1,Image 1,1,29,
3719,,Spot,1,Image 1,1,30,
2254,,Spot,1,Image 1,1,31,
2217,,Spot,1,Image 1,1,33,
2344,,Spot,1,Image 1,1,36,
2971,,Spot,1,Image 1,1,38,
1509,,Spot,1,Image 1,1,40,
2377,,Spot,1,Image 1,1,45,
1627,,Spot,1,Image 1,1,61,
3222,,Spot,1,Image 1,1,65,
3003,,Spot,1,Image 1,1,66,
3043,,Spot,1,Image 1,1,67,
3197,,Spot,1,Image 1,1,71,
3121,,Spot,1,Image 1,1,72,
2427,,Spot,1,Image 1,1,73,
2082,,Spot,1,Image 1,1,74,
2353,,Spot,1,Image 1,1,75,
3478,,Spot,1,Image 1,1,76,
2968,,Spot,1,Image 1,1,77,
3818,,Spot,1,Image 1,1,78,
2275,,Spot,1,Image 1,1,79,
1263,,Spot,1,Image 1,1,80,
3793,,Spot,1,Image 1,1,81,
3518,,Spot,1,Image 1,1,82,
2800,,Spot,1,Image 1,1,83,
2618,,Spot,1,Image 1,1,84,
2615,,Spot,1,Image 1,1,85,
1680,,Spot,1,Image 1,1,86,
2923,,Spot,1,Image 1,1,87,
2816,,Spot,1,Image 1,1,88,
3100,,Spot,1,Image 1,1,89,
1993,,Spot,1,Image 1,1,90,
3464,,Spot,1,Image 1,1,91,
2897,,Spot,1,Image 1,1,92,
3197,,Spot,1,Image 1,1,93,
3234,,Spot,1,Image 1,1,94,
2165,,Spot,1,Image 1,1,95,
2573,,Spot,1,Image 1,1,96,
2750,,Spot,1,Image 1,1,97,
2666,,Spot,1,Image 1,1,98,
2043,,Spot,1,Image 1,1,99,
4275,,Spot,1,Image 1,1,100,
3087,,Spot,1,Image 1,1,101,
1847,,Spot,1,Image 1,1,102,
1912,,Spot,1,Image 1,1,103,
1259,,Spot,1,Image 1,1,104,
2534,,Spot,1,Image 1,1,105,
3262,,Spot,1,Image 1,1,106,
3920,,Spot,1,Image 1,1,107,
3592,,Spot,1,Image 1,1,108,
2661,,Spot,1,Image 1,1,117,
3453,,Spot,1,Image 1,1,121,
