
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
309.305,,Spot,4,Image 1,1,13,
68.8496,,Spot,4,Image 1,1,15,
96.1276,,Spot,4,Image 1,1,17,
23.6514,,Spot,4,Image 1,1,19,
345.691,,Spot,4,Image 1,1,26,
60.5848,,Spot,4,Image 1,1,27,
52.1755,,Spot,4,Image 1,1,28,
155.653,,Spot,4,Image 1,1,29,
94.8989,,Spot,4,Image 1,1,30,
27.5044,,Spot,4,Image 1,1,31,
165.159,,Spot,4,Image 1,1,33,
40.6404,,Spot,4,Image 1,1,36,
66.7087,,Spot,4,Image 1,1,38,
19.4118,,Spot,4,Image 1,1,40,
88.2017,,Spot,4,Image 1,1,45,
45.6008,,Spot,4,Image 1,1,61,
420.213,,Spot,4,Image 1,1,65,
128.984,,Spot,4,Image 1,1,66,
70.1311,,Spot,4,Image 1,1,67,
85.3584,,Spot,4,Image 1,1,71,
60.3614,,Spot,4,Image 1,1,72,
96.7592,,Spot,4,Image 1,1,73,
16.3822,,Spot,4,Image 1,1,74,
93.6536,,Spot,4,Image 1,1,75,
84.0089,,Spot,4,Image 1,1,76,
101.146,,Spot,4,Image 1,1,77,
119.297,,Spot,4,Image 1,1,78,
40.178,,Spot,4,Image 1,1,79,
30.7506,,Spot,4,Image 1,1,80,
167.377,,Spot,4,Image 1,1,81,
159.444,,Spot,4,Image 1,1,82,
71.3885,,Spot,4,Image 1,1,83,
91.8164,,Spot,4,Image 1,1,84,
67.7777,,Spot,4,Image 1,1,85,
17.2362,,Spot,4,Image 1,1,86,
52.6008,,Spot,4,Image 1,1,87,
80.4804,,Spot,4,Image 1,1,88,
129.016,,Spot,4,Image 1,1,89,
15.6445,,Spot,4,Image 1,1,90,
104.952,,Spot,4,Image 1,1,91,
47.3728,,Spot,4,Image 1,1,92,
38.5126,,Spot,4,Image 1,1,93,
114.632,,Spot,4,Image 1,1,94,
48.5707,,Spot,4,Image 1,1,95,
67.1501,,Spot,4,Image 1,1,96,
157.343,,Spot,4,Image 1,1,97,
52.2633,,Spot,4,Image 1,1,98,
88.3996,,Spot,4,Image 1,1,99,
525.604,,Spot,4,Image 1,1,100,
237.547,,Spot,4,Image 1,1,101,
78.4993,,Spot,4,Image 1,1,102,
23.1511,,Spot,4,Image 1,1,103,
1.38011,,Spot,4,Image 1,1,104,
76.1387,,Spot,4,Image 1,1,105,
115.408,,Spot,4,Image 1,1,106,
128.07,,Spot,4,Image 1,1,107,
148.813,,Spot,4,Image 1,1,108,
54.9243,,Spot,4,Image 1,1,117,
276.557,,Spot,4,Image 1,1,121,
137.669,,Spot,4,Image 1,1,122,
182.834,,Spot,4,Image 1,1,124,
128.528,,Spot,4,Image 1,1,128,
119.371,,Spot,4,Image 1,1,129,
53.7554,,Spot,4,Image 1,1,130,
85.4958,,Spot,4,Image 1,1,131,
206.418,,Spot,4,Image 1,1,132,
75.041,,Spot,4,Image 1,1,133,
123.877,,Spot,4,Image 1,1,134,
357.358,,Spot,4,Image 1,1,136,
28.6375,,Spot,4,Image 1,1,137,
65.5055,,Spot,4,Image 1,1,139,
200.848,,Spot,4,Image 1,1,140,
21.1487,,Spot,4,Image 1,1,141,
28.7479,,Spot,4,Image 1,1,142,
104.943,,Spot,4,Image 1,1,143,
26.4385,,Spot,4,Image 1,1,144,
1.86617,,Spot,4,Image 1,1,145,
26.1115,,Spot,4,Image 1,1,146,
14.8318,,Spot,4,Image 1,1,147,
44.4365,,Spot,4,Image 1,1,148,
67.1303,,Spot,4,Image 1,1,149,
16.4018,,Spot,4,Image 1,1,150,
28.714,,Spot,4,Image 1,1,151,
86.4645,,Spot,4,Image 1,1,152,
46.4812,,Spot,4,Image 1,1,153,
0.216423,,Spot,4,Image 1,1,154,
64.7427,,Spot,4,Image 1,1,155,
46.906,,Spot,4,Image 1,1,156,
67.6829,,Spot,4,Image 1,1,157,
66.4198,,Spot,4,Image 1,1,159,
164.523,,Spot,4,Image 1,1,160,
38.4786,,Spot,4,Image 1,1,162,
