
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
873.056,,Spot,1,Image 1,1,13,
641.112,,Spot,1,Image 1,1,15,
501.692,,Spot,1,Image 1,1,17,
454.656,,Spot,1,Image 1,1,19,
791.44,,Spot,1,Image 1,1,26,
547.048,,Spot,1,Image 1,1,27,
728.36,,Spot,1,Image 1,1,28,
556.264,,Spot,1,Image 1,1,29,
632.064,,Spot,1,Image 1,1,30,
506.584,,Spot,1,Image 1,1,31,
571.232,,Spot,1,Image 1,1,33,
443.912,,Spot,1,Image 1,1,36,
437.28,,Spot,1,Image 1,1,38,
410.328,,Spot,1,Image 1,1,40,
483.312,,Spot,1,Image 1,1,45,
254.13,,Spot,1,Image 1,1,61,
1118.29,,Spot,1,Image 1,1,65,
820.138,,Spot,1,Image 1,1,66,
545.128,,Spot,1,Image 1,1,67,
624.832,,Spot,1,Image 1,1,71,
621.36,,Spot,1,Image 1,1,72,
623.92,,Spot,1,Image 1,1,73,
504.104,,Spot,1,Image 1,1,74,
709.12,,Spot,1,Image 1,1,75,
768.696,,Spot,1,Image 1,1,76,
568.512,,Spot,1,Image 1,1,77,
478.88,,Spot,1,Image 1,1,78,
681.128,,Spot,1,Image 1,1,79,
285.108,,Spot,1,Image 1,1,80,
579.524,,Spot,1,Image 1,1,81,
834.151,,Spot,1,Image 1,1,82,
482.68,,Spot,1,Image 1,1,83,
677.504,,Spot,1,Image 1,1,84,
597.024,,Spot,1,Image 1,1,85,
419.082,,Spot,1,Image 1,1,86,
517.352,,Spot,1,Image 1,1,87,
454.112,,Spot,1,Image 1,1,88,
608.3,,Spot,1,Image 1,1,89,
531.4,,Spot,1,Image 1,1,90,
477.5,,Spot,1,Image 1,1,91,
606.848,,Spot,1,Image 1,1,92,
568.556,,Spot,1,Image 1,1,93,
612.296,,Spot,1,Image 1,1,94,
401.336,,Spot,1,Image 1,1,95,
573.392,,Spot,1,Image 1,1,96,
635.752,,Spot,1,Image 1,1,97,
707.984,,Spot,1,Image 1,1,98,
451.72,,Spot,1,Image 1,1,99,
1217.06,,Spot,1,Image 1,1,100,
455.872,,Spot,1,Image 1,1,101,
483.224,,Spot,1,Image 1,1,102,
574.12,,Spot,1,Image 1,1,103,
373.36,,Spot,1,Image 1,1,104,
