
Intensity Min Ch=6 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,6,Image 1,1,13,
0,,Spot,6,Image 1,1,15,
0,,Spot,6,Image 1,1,17,
0,,Spot,6,Image 1,1,19,
0,,Spot,6,Image 1,1,26,
0,,Spot,6,Image 1,1,27,
0,,Spot,6,Image 1,1,28,
0,,Spot,6,Image 1,1,29,
0,,Spot,6,Image 1,1,30,
0,,Spot,6,Image 1,1,31,
0,,Spot,6,Image 1,1,33,
0,,Spot,6,Image 1,1,36,
0,,Spot,6,Image 1,1,38,
0,,Spot,6,Image 1,1,40,
0,,Spot,6,Image 1,1,45,
0,,Spot,6,Image 1,1,61,
0,,Spot,6,Image 1,1,65,
0,,Spot,6,Image 1,1,66,
0,,Spot,6,Image 1,1,67,
0,,Spot,6,Image 1,1,71,
0,,Spot,6,Image 1,1,72,
0,,Spot,6,Image 1,1,73,
0,,Spot,6,Image 1,1,74,
0,,Spot,6,Image 1,1,75,
0,,Spot,6,Image 1,1,76,
0,,Spot,6,Image 1,1,77,
0,,Spot,6,Image 1,1,78,
0,,Spot,6,Image 1,1,79,
0,,Spot,6,Image 1,1,80,
0,,Spot,6,Image 1,1,81,
0,,Spot,6,Image 1,1,82,
0,,Spot,6,Image 1,1,83,
0,,Spot,6,Image 1,1,84,
0,,Spot,6,Image 1,1,85,
0,,Spot,6,Image 1,1,86,
0,,Spot,6,Image 1,1,87,
0,,Spot,6,Image 1,1,88,
0,,Spot,6,Image 1,1,89,
0,,Spot,6,Image 1,1,90,
0,,Spot,6,Image 1,1,91,
0,,Spot,6,Image 1,1,92,
0,,Spot,6,Image 1,1,93,
0,,Spot,6,Image 1,1,94,
0,,Spot,6,Image 1,1,95,
0,,Spot,6,Image 1,1,96,
0,,Spot,6,Image 1,1,97,
0,,Spot,6,Image 1,1,98,
0,,Spot,6,Image 1,1,99,
0,,Spot,6,Image 1,1,100,
0,,Spot,6,Image 1,1,101,
0,,Spot,6,Image 1,1,102,
0,,Spot,6,Image 1,1,103,
0,,Spot,6,Image 1,1,104,
0,,Spot,6,Image 1,1,105,
0,,Spot,6,Image 1,1,106,
0,,Spot,6,Image 1,1,107,
0,,Spot,6,Image 1,1,108,
0,,Spot,6,Image 1,1,117,
0,,Spot,6,Image 1,1,121,
0,,Spot,6,Image 1,1,122,
0,,Spot,6,Image 1,1,124,
0,,Spot,6,Image 1,1,128,
0,,Spot,6,Image 1,1,129,
0,,Spot,6,Image 1,1,130,
0,,Spot,6,Image 1,1,131,
0,,Spot,6,Image 1,1,132,
0,,Spot,6,Image 1,1,133,
0,,Spot,6,Image 1,1,134,
0,,Spot,6,Image 1,1,136,
0,,Spot,6,Image 1,1,137,
0,,Spot,6,Image 1,1,139,
0,,Spot,6,Image 1,1,140,
0,,Spot,6,Image 1,1,141,
0,,Spot,6,Image 1,1,142,
0,,Spot,6,Image 1,1,143,
0,,Spot,6,Image 1,1,144,
68,,Spot,6,Image 1,1,145,
0,,Spot,6,Image 1,1,146,
0,,Spot,6,Image 1,1,147,
0,,Spot,6,Image 1,1,148,
0,,Spot,6,Image 1,1,149,
0,,Spot,6,Image 1,1,150,
0,,Spot,6,Image 1,1,151,
0,,Spot,6,Image 1,1,152,
0,,Spot,6,Image 1,1,153,
70,,Spot,6,Image 1,1,154,
0,,Spot,6,Image 1,1,155,
0,,Spot,6,Image 1,1,156,
0,,Spot,6,Image 1,1,157,
0,,Spot,6,Image 1,1,159,
0,,Spot,6,Image 1,1,160,
0,,Spot,6,Image 1,1,162,
0,,Spot,6,Image 1,1,163,
