
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
510.822,,Spot,2,Image 1,1,13,
563.276,,Spot,2,Image 1,1,15,
581.882,,Spot,2,Image 1,1,17,
524.363,,Spot,2,Image 1,1,19,
454.584,,Spot,2,Image 1,1,26,
444.798,,Spot,2,Image 1,1,27,
598.328,,Spot,2,Image 1,1,28,
375.055,,Spot,2,Image 1,1,29,
423.51,,Spot,2,Image 1,1,30,
469.838,,Spot,2,Image 1,1,31,
393.539,,Spot,2,Image 1,1,33,
514.343,,Spot,2,Image 1,1,36,
387.314,,Spot,2,Image 1,1,38,
474.821,,Spot,2,Image 1,1,40,
427.952,,Spot,2,Image 1,1,45,
582.975,,Spot,2,Image 1,1,61,
658.456,,Spot,2,Image 1,1,65,
695.197,,Spot,2,Image 1,1,66,
579.167,,Spot,2,Image 1,1,67,
591.532,,Spot,2,Image 1,1,71,
577.128,,Spot,2,Image 1,1,72,
605.219,,Spot,2,Image 1,1,73,
577.666,,Spot,2,Image 1,1,74,
521.79,,Spot,2,Image 1,1,75,
615.377,,Spot,2,Image 1,1,76,
470.639,,Spot,2,Image 1,1,77,
703.693,,Spot,2,Image 1,1,78,
536.863,,Spot,2,Image 1,1,79,
892.95,,Spot,2,Image 1,1,80,
680.921,,Spot,2,Image 1,1,81,
589.412,,Spot,2,Image 1,1,82,
432.453,,Spot,2,Image 1,1,83,
558.053,,Spot,2,Image 1,1,84,
572.96,,Spot,2,Image 1,1,85,
520.315,,Spot,2,Image 1,1,86,
524.193,,Spot,2,Image 1,1,87,
471.435,,Spot,2,Image 1,1,88,
488.523,,Spot,2,Image 1,1,89,
562.218,,Spot,2,Image 1,1,90,
476.105,,Spot,2,Image 1,1,91,
515.412,,Spot,2,Image 1,1,92,
481.408,,Spot,2,Image 1,1,93,
497.476,,Spot,2,Image 1,1,94,
453.31,,Spot,2,Image 1,1,95,
509.119,,Spot,2,Image 1,1,96,
459.245,,Spot,2,Image 1,1,97,
563.349,,Spot,2,Image 1,1,98,
440.567,,Spot,2,Image 1,1,99,
669.155,,Spot,2,Image 1,1,100,
456.421,,Spot,2,Image 1,1,101,
416.182,,Spot,2,Image 1,1,102,
508.938,,Spot,2,Image 1,1,103,
517.841,,Spot,2,Image 1,1,104,
486.945,,Spot,2,Image 1,1,105,
535.754,,Spot,2,Image 1,1,106,
551.451,,Spot,2,Image 1,1,107,
429.307,,Spot,2,Image 1,1,108,
463.404,,Spot,2,Image 1,1,117,
532.298,,Spot,2,Image 1,1,121,
636.425,,Spot,2,Image 1,1,122,
564.813,,Spot,2,Image 1,1,124,
543.943,,Spot,2,Image 1,1,128,
604.275,,Spot,2,Image 1,1,129,
575.356,,Spot,2,Image 1,1,130,
548.511,,Spot,2,Image 1,1,131,
447.791,,Spot,2,Image 1,1,132,
589.946,,Spot,2,Image 1,1,133,
591.253,,Spot,2,Image 1,1,134,
414.806,,Spot,2,Image 1,1,136,
570.239,,Spot,2,Image 1,1,137,
482.255,,Spot,2,Image 1,1,139,
604.741,,Spot,2,Image 1,1,140,
565.909,,Spot,2,Image 1,1,141,
570.191,,Spot,2,Image 1,1,142,
554.738,,Spot,2,Image 1,1,143,
471.746,,Spot,2,Image 1,1,144,
581.861,,Spot,2,Image 1,1,145,
577.244,,Spot,2,Image 1,1,146,
569.312,,Spot,2,Image 1,1,147,
524.513,,Spot,2,Image 1,1,148,
563.187,,Spot,2,Image 1,1,149,
588.691,,Spot,2,Image 1,1,150,
579.171,,Spot,2,Image 1,1,151,
529.807,,Spot,2,Image 1,1,152,
430.271,,Spot,2,Image 1,1,153,
574.237,,Spot,2,Image 1,1,154,
549.418,,Spot,2,Image 1,1,155,
434.404,,Spot,2,Image 1,1,156,
621.33,,Spot,2,Image 1,1,157,
622.091,,Spot,2,Image 1,1,159,
533.939,,Spot,2,Image 1,1,160,
656.438,,Spot,2,Image 1,1,162,
549.419,,Spot,2,Image 1,1,163,
540.382,,Spot,2,Image 1,1,164,
523.327,,Spot,2,Image 1,1,165,
593.337,,Spot,2,Image 1,1,166,
601.645,,Spot,2,Image 1,1,171,
557.242,,Spot,2,Image 1,1,173,
426.912,,Spot,2,Image 1,1,219,
592.746,,Spot,2,Image 1,1,220,
442.352,,Spot,2,Image 1,1,223,
462.646,,Spot,2,Image 1,1,228,
527.443,,Spot,2,Image 1,1,230,
381.807,,Spot,2,Image 1,1,237,
397.298,,Spot,2,Image 1,1,242,
614.954,,Spot,2,Image 1,1,266,
609.768,,Spot,2,Image 1,1,267,
544.527,,Spot,2,Image 1,1,270,
544.693,,Spot,2,Image 1,1,271,
573.412,,Spot,2,Image 1,1,272,
521.084,,Spot,2,Image 1,1,273,
588.683,,Spot,2,Image 1,1,274,
501.398,,Spot,2,Image 1,1,275,
548.276,,Spot,2,Image 1,1,276,
477.861,,Spot,2,Image 1,1,277,
540.971,,Spot,2,Image 1,1,278,
575.646,,Spot,2,Image 1,1,279,
525.999,,Spot,2,Image 1,1,280,
510.027,,Spot,2,Image 1,1,281,
467.589,,Spot,2,Image 1,1,282,
515.533,,Spot,2,Image 1,1,283,
536.842,,Spot,2,Image 1,1,284,
511.495,,Spot,2,Image 1,1,285,
568.421,,Spot,2,Image 1,1,286,
456.068,,Spot,2,Image 1,1,287,
426.436,,Spot,2,Image 1,1,288,
526.975,,Spot,2,Image 1,1,289,
557.302,,Spot,2,Image 1,1,290,
553.641,,Spot,2,Image 1,1,291,
489.56,,Spot,2,Image 1,1,292,
537.091,,Spot,2,Image 1,1,293,
406.807,,Spot,2,Image 1,1,294,
592.191,,Spot,2,Image 1,1,295,
523.217,,Spot,2,Image 1,1,296,
608.195,,Spot,2,Image 1,1,297,
459.604,,Spot,2,Image 1,1,298,
499.628,,Spot,2,Image 1,1,300,
530.958,,Spot,2,Image 1,1,303,
593.419,,Spot,2,Image 1,1,311,
492.711,,Spot,2,Image 1,1,312,
603.427,,Spot,2,Image 1,1,318,
569.429,,Spot,2,Image 1,1,319,
640.72,,Spot,2,Image 1,1,320,
609.755,,Spot,2,Image 1,1,321,
574.589,,Spot,2,Image 1,1,322,
497.054,,Spot,2,Image 1,1,323,
549.023,,Spot,2,Image 1,1,324,
527.197,,Spot,2,Image 1,1,325,
645.106,,Spot,2,Image 1,1,326,
693.52,,Spot,2,Image 1,1,328,
515.753,,Spot,2,Image 1,1,329,
594.312,,Spot,2,Image 1,1,330,
623.701,,Spot,2,Image 1,1,331,
489.871,,Spot,2,Image 1,1,332,
455.101,,Spot,2,Image 1,1,333,
528.74,,Spot,2,Image 1,1,334,
525.012,,Spot,2,Image 1,1,336,
498.203,,Spot,2,Image 1,1,337,
515.199,,Spot,2,Image 1,1,338,
483.185,,Spot,2,Image 1,1,339,
848.423,,Spot,2,Image 1,1,340,
579.518,,Spot,2,Image 1,1,342,
717.818,,Spot,2,Image 1,1,343,
542.193,,Spot,2,Image 1,1,344,
542.719,,Spot,2,Image 1,1,345,
609.017,,Spot,2,Image 1,1,347,
601.512,,Spot,2,Image 1,1,348,
519.724,,Spot,2,Image 1,1,349,
438.746,,Spot,2,Image 1,1,350,
515.776,,Spot,2,Image 1,1,351,
511.413,,Spot,2,Image 1,1,352,
616.524,,Spot,2,Image 1,1,353,
548.389,,Spot,2,Image 1,1,397,
574.805,,Spot,2,Image 1,1,398,
556.598,,Spot,2,Image 1,1,436,
522.549,,Spot,2,Image 1,1,437,
542.928,,Spot,2,Image 1,1,438,
526.434,,Spot,2,Image 1,1,440,
521.804,,Spot,2,Image 1,1,442,
555.796,,Spot,2,Image 1,1,443,
580.337,,Spot,2,Image 1,1,444,
544.882,,Spot,2,Image 1,1,445,
577.339,,Spot,2,Image 1,1,446,
601.62,,Spot,2,Image 1,1,447,
428.901,,Spot,2,Image 1,1,448,
500.006,,Spot,2,Image 1,1,449,
532.776,,Spot,2,Image 1,1,450,
488.766,,Spot,2,Image 1,1,451,
452.367,,Spot,2,Image 1,1,453,
455.093,,Spot,2,Image 1,1,454,
482.697,,Spot,2,Image 1,1,455,
532.243,,Spot,2,Image 1,1,456,
509.398,,Spot,2,Image 1,1,462,
576.482,,Spot,2,Image 1,1,469,
573.187,,Spot,2,Image 1,1,470,
598.496,,Spot,2,Image 1,1,471,
438.094,,Spot,2,Image 1,1,472,
524.144,,Spot,2,Image 1,1,473,
521,,Spot,2,Image 1,1,474,
582.671,,Spot,2,Image 1,1,475,
612.258,,Spot,2,Image 1,1,476,
468.031,,Spot,2,Image 1,1,477,
703.906,,Spot,2,Image 1,1,478,
468.95,,Spot,2,Image 1,1,479,
476.879,,Spot,2,Image 1,1,480,
611.462,,Spot,2,Image 1,1,481,
515.818,,Spot,2,Image 1,1,482,
521.336,,Spot,2,Image 1,1,483,
647.848,,Spot,2,Image 1,1,484,
649.835,,Spot,2,Image 1,1,485,
596.06,,Spot,2,Image 1,1,486,
611.354,,Spot,2,Image 1,1,487,
496.225,,Spot,2,Image 1,1,488,
531.838,,Spot,2,Image 1,1,489,
603.616,,Spot,2,Image 1,1,490,
455.111,,Spot,2,Image 1,1,498,
740.272,,Spot,2,Image 1,1,548,
791.412,,Spot,2,Image 1,1,549,
613.571,,Spot,2,Image 1,1,550,
607.802,,Spot,2,Image 1,1,552,
559.446,,Spot,2,Image 1,1,554,
596.821,,Spot,2,Image 1,1,555,
607.911,,Spot,2,Image 1,1,556,
570.541,,Spot,2,Image 1,1,557,
514.745,,Spot,2,Image 1,1,558,
646.155,,Spot,2,Image 1,1,559,
579.84,,Spot,2,Image 1,1,560,
591.398,,Spot,2,Image 1,1,561,
529.236,,Spot,2,Image 1,1,562,
573.963,,Spot,2,Image 1,1,563,
610.775,,Spot,2,Image 1,1,564,
602.804,,Spot,2,Image 1,1,565,
573.065,,Spot,2,Image 1,1,566,
486.092,,Spot,2,Image 1,1,567,
600.439,,Spot,2,Image 1,1,568,
460.178,,Spot,2,Image 1,1,569,
726.637,,Spot,2,Image 1,1,570,
533.717,,Spot,2,Image 1,1,571,
713.204,,Spot,2,Image 1,1,572,
500.237,,Spot,2,Image 1,1,573,
494.15,,Spot,2,Image 1,1,575,
569.179,,Spot,2,Image 1,1,580,
489.682,,Spot,2,Image 1,1,581,
634.735,,Spot,2,Image 1,1,583,
479.159,,Spot,2,Image 1,1,584,
533.767,,Spot,2,Image 1,1,585,
422.081,,Spot,2,Image 1,1,586,
453.561,,Spot,2,Image 1,1,587,
554.154,,Spot,2,Image 1,1,588,
491.92,,Spot,2,Image 1,1,589,
649.203,,Spot,2,Image 1,1,590,
571.534,,Spot,2,Image 1,1,592,
469.965,,Spot,2,Image 1,1,593,
460.503,,Spot,2,Image 1,1,594,
491.588,,Spot,2,Image 1,1,595,
567.861,,Spot,2,Image 1,1,596,
543.574,,Spot,2,Image 1,1,597,
508.982,,Spot,2,Image 1,1,598,
481.786,,Spot,2,Image 1,1,599,
534.891,,Spot,2,Image 1,1,600,
527.512,,Spot,2,Image 1,1,601,
623.522,,Spot,2,Image 1,1,602,
474.775,,Spot,2,Image 1,1,603,
578.459,,Spot,2,Image 1,1,604,
559.963,,Spot,2,Image 1,1,605,
540.183,,Spot,2,Image 1,1,607,
482.483,,Spot,2,Image 1,1,610,
595.25,,Spot,2,Image 1,1,624,
584.166,,Spot,2,Image 1,1,625,
543.063,,Spot,2,Image 1,1,630,
570.778,,Spot,2,Image 1,1,640,
450.342,,Spot,2,Image 1,1,645,
483.613,,Spot,2,Image 1,1,55413,
452.183,,Spot,2,Image 1,1,55414,
545.293,,Spot,2,Image 1,1,55415,
430.884,,Spot,2,Image 1,1,55416,
482.624,,Spot,2,Image 1,1,55417,
487.258,,Spot,2,Image 1,1,55418,
463.224,,Spot,2,Image 1,1,55420,
475.694,,Spot,2,Image 1,1,55421,
516.688,,Spot,2,Image 1,1,55422,
545.457,,Spot,2,Image 1,1,55423,
570.61,,Spot,2,Image 1,1,55424,
457.414,,Spot,2,Image 1,1,55425,
565.149,,Spot,2,Image 1,1,55426,
584.381,,Spot,2,Image 1,1,55427,
460.482,,Spot,2,Image 1,1,55429,
489.95,,Spot,2,Image 1,1,55430,
419.701,,Spot,2,Image 1,1,55431,
555.15,,Spot,2,Image 1,1,55432,
476.667,,Spot,2,Image 1,1,55433,
495.8,,Spot,2,Image 1,1,55434,
442.056,,Spot,2,Image 1,1,55435,
443.354,,Spot,2,Image 1,1,55436,
512.137,,Spot,2,Image 1,1,55437,
561.016,,Spot,2,Image 1,1,55438,
563.898,,Spot,2,Image 1,1,55439,
590.572,,Spot,2,Image 1,1,55440,
567.613,,Spot,2,Image 1,1,55441,
564.844,,Spot,2,Image 1,1,55442,
663.488,,Spot,2,Image 1,1,55444,
594.611,,Spot,2,Image 1,1,55445,
550.975,,Spot,2,Image 1,1,55446,
668.712,,Spot,2,Image 1,1,55447,
666.33,,Spot,2,Image 1,1,55449,
428.645,,Spot,2,Image 1,1,55450,
599.341,,Spot,2,Image 1,1,55452,
