
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.06432e+06,,Spot,6,Image 1,1,13,
3.08679e+06,,Spot,6,Image 1,1,15,
3.77433e+06,,Spot,6,Image 1,1,17,
4.03814e+06,,Spot,6,Image 1,1,19,
1.5296e+06,,Spot,6,Image 1,1,26,
2.66801e+06,,Spot,6,Image 1,1,27,
4.48379e+06,,Spot,6,Image 1,1,28,
1.73844e+06,,Spot,6,Image 1,1,29,
2.75961e+06,,Spot,6,Image 1,1,30,
3.29388e+06,,Spot,6,Image 1,1,31,
1.52839e+06,,Spot,6,Image 1,1,33,
3.4292e+06,,Spot,6,Image 1,1,36,
2.15914e+06,,Spot,6,Image 1,1,38,
3.03045e+06,,Spot,6,Image 1,1,40,
1.87746e+06,,Spot,6,Image 1,1,45,
2.0209e+06,,Spot,6,Image 1,1,61,
1.79296e+06,,Spot,6,Image 1,1,65,
4.21107e+06,,Spot,6,Image 1,1,66,
3.91034e+06,,Spot,6,Image 1,1,67,
3.10044e+06,,Spot,6,Image 1,1,71,
3.28763e+06,,Spot,6,Image 1,1,72,
2.88603e+06,,Spot,6,Image 1,1,73,
3.54762e+06,,Spot,6,Image 1,1,74,
2.92805e+06,,Spot,6,Image 1,1,75,
3.33473e+06,,Spot,6,Image 1,1,76,
2.78802e+06,,Spot,6,Image 1,1,77,
4.61939e+06,,Spot,6,Image 1,1,78,
4.07386e+06,,Spot,6,Image 1,1,79,
3.95151e+06,,Spot,6,Image 1,1,80,
4.31857e+06,,Spot,6,Image 1,1,81,
3.04034e+06,,Spot,6,Image 1,1,82,
2.18094e+06,,Spot,6,Image 1,1,83,
3.18911e+06,,Spot,6,Image 1,1,84,
3.03179e+06,,Spot,6,Image 1,1,85,
3.10753e+06,,Spot,6,Image 1,1,86,
3.73023e+06,,Spot,6,Image 1,1,87,
2.95261e+06,,Spot,6,Image 1,1,88,
2.66389e+06,,Spot,6,Image 1,1,89,
3.90169e+06,,Spot,6,Image 1,1,90,
3.24478e+06,,Spot,6,Image 1,1,91,
3.56934e+06,,Spot,6,Image 1,1,92,
3.40976e+06,,Spot,6,Image 1,1,93,
3.23843e+06,,Spot,6,Image 1,1,94,
2.24733e+06,,Spot,6,Image 1,1,95,
2.96648e+06,,Spot,6,Image 1,1,96,
2.16229e+06,,Spot,6,Image 1,1,97,
3.53727e+06,,Spot,6,Image 1,1,98,
2.18887e+06,,Spot,6,Image 1,1,99,
1.85996e+06,,Spot,6,Image 1,1,100,
1.53598e+06,,Spot,6,Image 1,1,101,
1.72745e+06,,Spot,6,Image 1,1,102,
3.57439e+06,,Spot,6,Image 1,1,103,
3.83079e+06,,Spot,6,Image 1,1,104,
3.60672e+06,,Spot,6,Image 1,1,105,
3.77394e+06,,Spot,6,Image 1,1,106,
4.01062e+06,,Spot,6,Image 1,1,107,
2.6565e+06,,Spot,6,Image 1,1,108,
3.27379e+06,,Spot,6,Image 1,1,117,
1.78017e+06,,Spot,6,Image 1,1,121,
3.07713e+06,,Spot,6,Image 1,1,122,
2.66254e+06,,Spot,6,Image 1,1,124,
3.53241e+06,,Spot,6,Image 1,1,128,
3.69391e+06,,Spot,6,Image 1,1,129,
3.49728e+06,,Spot,6,Image 1,1,130,
3.38232e+06,,Spot,6,Image 1,1,131,
1.4494e+06,,Spot,6,Image 1,1,132,
3.54942e+06,,Spot,6,Image 1,1,133,
2.49978e+06,,Spot,6,Image 1,1,134,
1.28161e+06,,Spot,6,Image 1,1,136,
2.64513e+06,,Spot,6,Image 1,1,137,
3.58538e+06,,Spot,6,Image 1,1,139,
3.59669e+06,,Spot,6,Image 1,1,140,
4.50043e+06,,Spot,6,Image 1,1,141,
4.50998e+06,,Spot,6,Image 1,1,142,
3.7139e+06,,Spot,6,Image 1,1,143,
3.08777e+06,,Spot,6,Image 1,1,144,
3.58399e+06,,Spot,6,Image 1,1,145,
3.45794e+06,,Spot,6,Image 1,1,146,
3.80178e+06,,Spot,6,Image 1,1,147,
3.14425e+06,,Spot,6,Image 1,1,148,
3.94352e+06,,Spot,6,Image 1,1,149,
4.52892e+06,,Spot,6,Image 1,1,150,
4.4359e+06,,Spot,6,Image 1,1,151,
2.99675e+06,,Spot,6,Image 1,1,152,
2.49151e+06,,Spot,6,Image 1,1,153,
5.0514e+06,,Spot,6,Image 1,1,154,
3.85673e+06,,Spot,6,Image 1,1,155,
2.89909e+06,,Spot,6,Image 1,1,156,
3.5835e+06,,Spot,6,Image 1,1,157,
3.56811e+06,,Spot,6,Image 1,1,159,
2.75563e+06,,Spot,6,Image 1,1,160,
3.48134e+06,,Spot,6,Image 1,1,162,
3.92128e+06,,Spot,6,Image 1,1,163,
2.93527e+06,,Spot,6,Image 1,1,164,
3.35537e+06,,Spot,6,Image 1,1,165,
3.41376e+06,,Spot,6,Image 1,1,166,
4.28912e+06,,Spot,6,Image 1,1,171,
4.29913e+06,,Spot,6,Image 1,1,173,
2.17892e+06,,Spot,6,Image 1,1,219,
4.64624e+06,,Spot,6,Image 1,1,220,
2.49638e+06,,Spot,6,Image 1,1,223,
3.30978e+06,,Spot,6,Image 1,1,228,
3.4626e+06,,Spot,6,Image 1,1,230,
1.80252e+06,,Spot,6,Image 1,1,237,
2.22183e+06,,Spot,6,Image 1,1,242,
4.60248e+06,,Spot,6,Image 1,1,266,
3.88119e+06,,Spot,6,Image 1,1,267,
4.20872e+06,,Spot,6,Image 1,1,270,
3.63819e+06,,Spot,6,Image 1,1,271,
2.98642e+06,,Spot,6,Image 1,1,272,
3.03177e+06,,Spot,6,Image 1,1,273,
3.86941e+06,,Spot,6,Image 1,1,274,
2.95821e+06,,Spot,6,Image 1,1,275,
3.24065e+06,,Spot,6,Image 1,1,276,
