
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
9.26542e+08,,Spot,4,Image 1,1,13,
1.29824e+08,,Spot,4,Image 1,1,15,
3.08511e+08,,Spot,4,Image 1,1,17,
4.53875e+07,,Spot,4,Image 1,1,19,
1.03443e+09,,Spot,4,Image 1,1,26,
9.75324e+07,,Spot,4,Image 1,1,27,
1.17709e+08,,Spot,4,Image 1,1,28,
2.84737e+08,,Spot,4,Image 1,1,29,
2.83217e+08,,Spot,4,Image 1,1,30,
3.66553e+07,,Spot,4,Image 1,1,31,
2.70979e+08,,Spot,4,Image 1,1,33,
6.62395e+07,,Spot,4,Image 1,1,36,
9.53782e+07,,Spot,4,Image 1,1,38,
2.14723e+07,,Spot,4,Image 1,1,40,
1.18871e+08,,Spot,4,Image 1,1,45,
4.736e+07,,Spot,4,Image 1,1,61,
9.70232e+08,,Spot,4,Image 1,1,65,
3.14094e+08,,Spot,4,Image 1,1,66,
1.75848e+08,,Spot,4,Image 1,1,67,
1.77295e+08,,Spot,4,Image 1,1,71,
1.08568e+08,,Spot,4,Image 1,1,72,
1.77459e+08,,Spot,4,Image 1,1,73,
1.75543e+07,,Spot,4,Image 1,1,74,
1.65544e+08,,Spot,4,Image 1,1,75,
1.76014e+08,,Spot,4,Image 1,1,76,
2.07092e+08,,Spot,4,Image 1,1,77,
3.69403e+08,,Spot,4,Image 1,1,78,
5.7265e+07,,Spot,4,Image 1,1,79,
3.03741e+07,,Spot,4,Image 1,1,80,
6.29869e+08,,Spot,4,Image 1,1,81,
4.09605e+08,,Spot,4,Image 1,1,82,
9.88941e+07,,Spot,4,Image 1,1,83,
1.78924e+08,,Spot,4,Image 1,1,84,
1.03911e+08,,Spot,4,Image 1,1,85,
2.01102e+07,,Spot,4,Image 1,1,86,
1.23454e+08,,Spot,4,Image 1,1,87,
1.93553e+08,,Spot,4,Image 1,1,88,
2.89215e+08,,Spot,4,Image 1,1,89,
1.63672e+07,,Spot,4,Image 1,1,90,
3.2924e+08,,Spot,4,Image 1,1,91,
8.43468e+07,,Spot,4,Image 1,1,92,
6.16473e+07,,Spot,4,Image 1,1,93,
3.19416e+08,,Spot,4,Image 1,1,94,
7.39814e+07,,Spot,4,Image 1,1,95,
1.00516e+08,,Spot,4,Image 1,1,96,
3.35938e+08,,Spot,4,Image 1,1,97,
9.86599e+07,,Spot,4,Image 1,1,98,
1.40168e+08,,Spot,4,Image 1,1,99,
1.57718e+09,,Spot,4,Image 1,1,100,
6.21516e+08,,Spot,4,Image 1,1,101,
8.50769e+07,,Spot,4,Image 1,1,102,
2.9193e+07,,Spot,4,Image 1,1,103,
838203,,Spot,4,Image 1,1,104,
1.35634e+08,,Spot,4,Image 1,1,105,
3.5446e+08,,Spot,4,Image 1,1,106,
3.92747e+08,,Spot,4,Image 1,1,107,
4.29081e+08,,Spot,4,Image 1,1,108,
1.00347e+08,,Spot,4,Image 1,1,117,
5.51077e+08,,Spot,4,Image 1,1,121,
2.87856e+08,,Spot,4,Image 1,1,122,
5.89483e+08,,Spot,4,Image 1,1,124,
3.89526e+08,,Spot,4,Image 1,1,128,
3.00116e+08,,Spot,4,Image 1,1,129,
8.20284e+07,,Spot,4,Image 1,1,130,
1.5139e+08,,Spot,4,Image 1,1,131,
3.48524e+08,,Spot,4,Image 1,1,132,
1.4382e+08,,Spot,4,Image 1,1,133,
1.62612e+08,,Spot,4,Image 1,1,134,
7.4112e+08,,Spot,4,Image 1,1,136,
2.44055e+07,,Spot,4,Image 1,1,137,
1.44331e+08,,Spot,4,Image 1,1,139,
9.19505e+08,,Spot,4,Image 1,1,140,
3.81193e+07,,Spot,4,Image 1,1,141,
8.73935e+07,,Spot,4,Image 1,1,142,
2.98695e+08,,Spot,4,Image 1,1,143,
2.85072e+07,,Spot,4,Image 1,1,144,
1.09018e+06,,Spot,4,Image 1,1,145,
3.74281e+07,,Spot,4,Image 1,1,146,
1.46989e+07,,Spot,4,Image 1,1,147,
8.80439e+07,,Spot,4,Image 1,1,148,
1.39551e+08,,Spot,4,Image 1,1,149,
3.99537e+07,,Spot,4,Image 1,1,150,
4.46311e+07,,Spot,4,Image 1,1,151,
1.52783e+08,,Spot,4,Image 1,1,152,
6.23717e+07,,Spot,4,Image 1,1,153,
119989,,Spot,4,Image 1,1,154,
1.45142e+08,,Spot,4,Image 1,1,155,
8.10202e+07,,Spot,4,Image 1,1,156,
1.45228e+08,,Spot,4,Image 1,1,157,
1.61054e+08,,Spot,4,Image 1,1,159,
3.23906e+08,,Spot,4,Image 1,1,160,
6.86501e+07,,Spot,4,Image 1,1,162,
1.00938e+07,,Spot,4,Image 1,1,163,
1.54525e+08,,Spot,4,Image 1,1,164,
1.72339e+08,,Spot,4,Image 1,1,165,
9.90738e+06,,Spot,4,Image 1,1,166,
9.92971e+07,,Spot,4,Image 1,1,171,
2.85398e+08,,Spot,4,Image 1,1,173,
1.14433e+08,,Spot,4,Image 1,1,219,
1.84676e+08,,Spot,4,Image 1,1,220,
2.27329e+08,,Spot,4,Image 1,1,223,
5.8535e+07,,Spot,4,Image 1,1,228,
1.41944e+08,,Spot,4,Image 1,1,230,
3.89177e+08,,Spot,4,Image 1,1,237,
2.46661e+08,,Spot,4,Image 1,1,242,
1.4048e+07,,Spot,4,Image 1,1,266,
1.02206e+08,,Spot,4,Image 1,1,267,
6.0628e+07,,Spot,4,Image 1,1,270,
1.29947e+08,,Spot,4,Image 1,1,271,
1.42678e+08,,Spot,4,Image 1,1,272,
5.09042e+07,,Spot,4,Image 1,1,273,
3.18555e+08,,Spot,4,Image 1,1,274,
1.33627e+08,,Spot,4,Image 1,1,275,
1.48261e+08,,Spot,4,Image 1,1,276,
1.47315e+08,,Spot,4,Image 1,1,277,
910986,,Spot,4,Image 1,1,278,
4.01556e+07,,Spot,4,Image 1,1,279,
4.65702e+07,,Spot,4,Image 1,1,280,
1.44566e+07,,Spot,4,Image 1,1,281,
3.80097e+08,,Spot,4,Image 1,1,282,
7.70412e+07,,Spot,4,Image 1,1,283,
6.53342e+08,,Spot,4,Image 1,1,284,
3.44165e+08,,Spot,4,Image 1,1,285,
1.02661e+08,,Spot,4,Image 1,1,286,
9.2062e+07,,Spot,4,Image 1,1,287,
2.30346e+07,,Spot,4,Image 1,1,288,
2.4878e+07,,Spot,4,Image 1,1,289,
1.55918e+08,,Spot,4,Image 1,1,290,
