
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2293,,Spot,Image 1,1,13,
2287,,Spot,Image 1,1,15,
2743,,Spot,Image 1,1,17,
2751,,Spot,Image 1,1,19,
2297,,Spot,Image 1,1,26,
2611,,Spot,Image 1,1,27,
2740,,Spot,Image 1,1,28,
2740,,Spot,Image 1,1,29,
2749,,Spot,Image 1,1,30,
2750,,Spot,Image 1,1,31,
2299,,Spot,Image 1,1,33,
2753,,Spot,Image 1,1,36,
2770,,Spot,Image 1,1,38,
2739,,Spot,Image 1,1,40,
2286,,Spot,Image 1,1,45,
2292,,Spot,Image 1,1,61,
2292,,Spot,Image 1,1,65,
2602,,Spot,Image 1,1,66,
2745,,Spot,Image 1,1,67,
2291,,Spot,Image 1,1,71,
2277,,Spot,Image 1,1,72,
2284,,Spot,Image 1,1,73,
2292,,Spot,Image 1,1,74,
2298,,Spot,Image 1,1,75,
2141,,Spot,Image 1,1,76,
2674,,Spot,Image 1,1,77,
2749,,Spot,Image 1,1,78,
2747,,Spot,Image 1,1,79,
2743,,Spot,Image 1,1,80,
2748,,Spot,Image 1,1,81,
2294,,Spot,Image 1,1,82,
2291,,Spot,Image 1,1,83,
2282,,Spot,Image 1,1,84,
2290,,Spot,Image 1,1,85,
2265,,Spot,Image 1,1,86,
2753,,Spot,Image 1,1,87,
2750,,Spot,Image 1,1,88,
2702,,Spot,Image 1,1,89,
2754,,Spot,Image 1,1,90,
2739,,Spot,Image 1,1,91,
2739,,Spot,Image 1,1,92,
2743,,Spot,Image 1,1,93,
2751,,Spot,Image 1,1,94,
2285,,Spot,Image 1,1,95,
2292,,Spot,Image 1,1,96,
2286,,Spot,Image 1,1,97,
2286,,Spot,Image 1,1,98,
2290,,Spot,Image 1,1,99,
2293,,Spot,Image 1,1,100,
2281,,Spot,Image 1,1,101,
2059,,Spot,Image 1,1,102,
2628,,Spot,Image 1,1,103,
2444,,Spot,Image 1,1,104,
2746,,Spot,Image 1,1,105,
2749,,Spot,Image 1,1,106,
2746,,Spot,Image 1,1,107,
2749,,Spot,Image 1,1,108,
2735,,Spot,Image 1,1,117,
2281,,Spot,Image 1,1,121,
2293,,Spot,Image 1,1,122,
2284,,Spot,Image 1,1,124,
2741,,Spot,Image 1,1,128,
2750,,Spot,Image 1,1,129,
2294,,Spot,Image 1,1,130,
2289,,Spot,Image 1,1,131,
2293,,Spot,Image 1,1,132,
2295,,Spot,Image 1,1,133,
2292,,Spot,Image 1,1,134,
2305,,Spot,Image 1,1,136,
2014,,Spot,Image 1,1,137,
2732,,Spot,Image 1,1,139,
2743,,Spot,Image 1,1,140,
2751,,Spot,Image 1,1,141,
2741,,Spot,Image 1,1,142,
2729,,Spot,Image 1,1,143,
2299,,Spot,Image 1,1,144,
2294,,Spot,Image 1,1,145,
2288,,Spot,Image 1,1,146,
2289,,Spot,Image 1,1,147,
2291,,Spot,Image 1,1,148,
2732,,Spot,Image 1,1,149,
2743,,Spot,Image 1,1,150,
2734,,Spot,Image 1,1,151,
2749,,Spot,Image 1,1,152,
2741,,Spot,Image 1,1,153,
2740,,Spot,Image 1,1,154,
2740,,Spot,Image 1,1,155,
2744,,Spot,Image 1,1,156,
2280,,Spot,Image 1,1,157,
2287,,Spot,Image 1,1,159,
2293,,Spot,Image 1,1,160,
2426,,Spot,Image 1,1,162,
2578,,Spot,Image 1,1,163,
2738,,Spot,Image 1,1,164,
2752,,Spot,Image 1,1,165,
2749,,Spot,Image 1,1,166,
2292,,Spot,Image 1,1,171,
2733,,Spot,Image 1,1,173,
2749,,Spot,Image 1,1,219,
2744,,Spot,Image 1,1,220,
2748,,Spot,Image 1,1,223,
2743,,Spot,Image 1,1,228,
2745,,Spot,Image 1,1,230,
2734,,Spot,Image 1,1,237,
2738,,Spot,Image 1,1,242,
2747,,Spot,Image 1,1,266,
2747,,Spot,Image 1,1,267,
2735,,Spot,Image 1,1,270,
2749,,Spot,Image 1,1,271,
2742,,Spot,Image 1,1,272,
2753,,Spot,Image 1,1,273,
2758,,Spot,Image 1,1,274,
