
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
48.6269,29.525,1.2,um,Spot,Position,1,13,
38.8456,34.5572,1.2,um,Spot,Position,1,15,
35.3561,32.9825,3.047,um,Spot,Position,1,17,
54.5184,30.7385,5.74329,um,Spot,Position,1,19,
81.4464,28.3769,1.2,um,Spot,Position,1,26,
78.3364,33.2213,1.80192,um,Spot,Position,1,27,
65.2476,30.6104,3.48647,um,Spot,Position,1,28,
86.0157,29.3716,4.0645,um,Spot,Position,1,29,
78.296,36.004,5.22437,um,Spot,Position,1,30,
80.0229,28.2106,7.62817,um,Spot,Position,1,31,
90.0117,30.1998,1.2,um,Spot,Position,1,33,
100.194,36.2291,2.59466,um,Spot,Position,1,36,
90.6834,29.8659,5.22451,um,Spot,Position,1,38,
111.939,31.8719,6.40184,um,Spot,Position,1,40,
116.957,30.221,1.2,um,Spot,Position,1,45,
21.7536,50.2858,1.2,um,Spot,Position,1,61,
25.2634,60.8183,1.2,um,Spot,Position,1,65,
23.0892,40.1999,1.7728,um,Spot,Position,1,66,
21.8197,60.6501,2.62023,um,Spot,Position,1,67,
35.6963,42.5493,1.2,um,Spot,Position,1,71,
53.677,48.7786,1.2,um,Spot,Position,1,72,
39.4218,49.4064,1.2,um,Spot,Position,1,73,
46.8863,63.8231,1.2,um,Spot,Position,1,74,
37.2714,64.7366,1.2,um,Spot,Position,1,75,
44.923,45.068,0.983513,um,Spot,Position,1,76,
43.1663,37.8097,2.0215,um,Spot,Position,1,77,
31.6745,47.3321,2.79025,um,Spot,Position,1,78,
49.5686,50.5264,2.49134,um,Spot,Position,1,79,
31.72,55.5793,5.24205,um,Spot,Position,1,80,
33.0053,37.8579,5.65875,um,Spot,Position,1,81,
66.9066,37.5666,1.2,um,Spot,Position,1,82,
82.5497,43.3485,1.2,um,Spot,Position,1,83,
73.9523,52.7278,1.2,um,Spot,Position,1,84,
68.3134,57.4473,1.2,um,Spot,Position,1,85,
66.6282,48.7276,1.16214,um,Spot,Position,1,86,
59.3886,46.0012,2.28415,um,Spot,Position,1,87,
84.6708,53.075,2.33193,um,Spot,Position,1,88,
86.0503,61.7582,2.09995,um,Spot,Position,1,89,
59.9697,55.4108,4.34039,um,Spot,Position,1,90,
65.0611,55.8944,4.60469,um,Spot,Position,1,91,
80.1241,56.5558,4.64909,um,Spot,Position,1,92,
72.4258,37.1784,4.96639,um,Spot,Position,1,93,
84.1232,53.6219,6.98919,um,Spot,Position,1,94,
114.662,39.8586,1.2,um,Spot,Position,1,95,
94.1731,40.144,1.2,um,Spot,Position,1,96,
90.6559,52.5199,1.2,um,Spot,Position,1,97,
113.649,54.4295,1.2,um,Spot,Position,1,98,
102.03,57.8503,1.2,um,Spot,Position,1,99,
90.131,61.4298,1.2,um,Spot,Position,1,100,
99.8587,63.538,1.2,um,Spot,Position,1,101,
104.318,63.1118,0.854806,um,Spot,Position,1,102,
100.291,47.1378,1.85047,um,Spot,Position,1,103,
95.3419,54.2721,1.44281,um,Spot,Position,1,104,
104.688,49.1084,4.6146,um,Spot,Position,1,105,
88.9501,61.2309,6.41733,um,Spot,Position,1,106,
109.563,56.6514,6.9422,um,Spot,Position,1,107,
90.4201,47.6027,7.4313,um,Spot,Position,1,108,
115.202,63.1716,2.73568,um,Spot,Position,1,117,
27.7757,65.0745,1.2,um,Spot,Position,1,121,
22.3364,68.9419,1.2,um,Spot,Position,1,122,
24.1131,76.9118,1.2,um,Spot,Position,1,124,
28.689,68.152,4.66532,um,Spot,Position,1,128,
26.3954,73.8198,5.54512,um,Spot,Position,1,129,
47.9695,69.1872,1.2,um,Spot,Position,1,130,
37.2612,74.0753,1.2,um,Spot,Position,1,131,
51.3099,78.7598,1.2,um,Spot,Position,1,132,
40.6247,82.0301,1.2,um,Spot,Position,1,133,
31.2846,83.3358,1.2,um,Spot,Position,1,134,
53.1315,87.55,1.2,um,Spot,Position,1,136,
32.4779,72.4684,0.793971,um,Spot,Position,1,137,
53.7873,68.7589,2.17156,um,Spot,Position,1,139,
39.6789,65.5867,4.64602,um,Spot,Position,1,140,
46.6089,74.4213,4.44414,um,Spot,Position,1,141,
47.4995,85.0487,6.37048,um,Spot,Position,1,142,
55.6981,87.2248,7.52819,um,Spot,Position,1,143,
66.5346,68.766,1.2,um,Spot,Position,1,144,
76.1105,71.5858,1.2,um,Spot,Position,1,145,
58.1721,80.957,1.2,um,Spot,Position,1,146,
83.5103,84.4781,1.2,um,Spot,Position,1,147,
77.2772,87.8973,1.2,um,Spot,Position,1,148,
72.2263,77.1432,2.23399,um,Spot,Position,1,149,
78.0988,79.2646,2.28407,um,Spot,Position,1,150,
65.8561,81.6629,2.24378,um,Spot,Position,1,151,
67.7984,89.5075,3.61322,um,Spot,Position,1,152,
83.0497,72.5528,5.12267,um,Spot,Position,1,153,
60.2625,67.3909,6.419,um,Spot,Position,1,154,
71.8501,79.6753,7.22277,um,Spot,Position,1,155,
79.9237,87.5212,7.2995,um,Spot,Position,1,156,
86.8813,73.5355,1.2,um,Spot,Position,1,157,
112.663,78.6554,1.2,um,Spot,Position,1,159,
102.515,81.2783,1.2,um,Spot,Position,1,160,
94.8361,65.2165,1.4286,um,Spot,Position,1,162,
92.2401,82.8259,1.74468,um,Spot,Position,1,163,
107.324,74.4563,2.27495,um,Spot,Position,1,164,
94.3892,84.5999,5.47685,um,Spot,Position,1,165,
110.538,65.832,6.88244,um,Spot,Position,1,166,
115.386,88.5751,1.2,um,Spot,Position,1,171,
118.368,78.0903,2.18826,um,Spot,Position,1,173,
40.4833,30.7333,8.75351,um,Spot,Position,1,219,
55.2523,35.7187,9.78084,um,Spot,Position,1,220,
45.9545,31.6673,11.4686,um,Spot,Position,1,223,
73.1078,31.2007,9.28234,um,Spot,Position,1,228,
67.4045,31.4594,11.2392,um,Spot,Position,1,230,
93.2416,31.7634,7.98509,um,Spot,Position,1,237,
103.436,33.2147,9.76435,um,Spot,Position,1,242,
24.3384,57.5165,7.76503,um,Spot,Position,1,266,
27.4788,64.2197,8.39756,um,Spot,Position,1,267,
56.4456,53.2351,10.2169,um,Spot,Position,1,270,
31.7454,43.6404,10.7302,um,Spot,Position,1,271,
42.9841,43.8332,11.3706,um,Spot,Position,1,272,
29.9667,61.3937,11.1398,um,Spot,Position,1,273,
40.6422,50.0446,11.7713,um,Spot,Position,1,274,
30.7235,50.8754,11.5787,um,Spot,Position,1,275,
44.2611,36.7064,12.3866,um,Spot,Position,1,276,
57.5017,41.5912,12.7539,um,Spot,Position,1,277,
37.0981,59.6939,14.021,um,Spot,Position,1,278,
44.9761,64.6883,14.2287,um,Spot,Position,1,279,
31.8518,55.3253,14.5154,um,Spot,Position,1,280,
70.0279,45.3544,8.53465,um,Spot,Position,1,281,
74.1239,58.4897,8.21207,um,Spot,Position,1,282,
84.7353,60.4628,8.33257,um,Spot,Position,1,283,
63.9249,50.65,10.229,um,Spot,Position,1,284,
79.9649,43.6149,11.2913,um,Spot,Position,1,285,
