Position,,,,,,,,Intensity Mean Ch=3 Img=1,Intensity Mean Ch=2 Img=1
 ==================== ,,,,,,,, ==================== , ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,VENUS Intensity Mean,KEIMA Intensity Mean
48.6269,29.525,1.2,um,Spot,Position,1,13,49.7863,1058.48
38.8456,34.5572,1.2,um,Spot,Position,1,15,37.7687,1400.5
35.3561,32.9825,3.047,um,Spot,Position,1,17,37.1812,1440.29
54.5184,30.7385,5.74329,um,Spot,Position,1,19,79.4315,1488.99
81.4464,28.3769,1.2,um,Spot,Position,1,26,26.5612,848.848
78.3364,33.2213,1.80192,um,Spot,Position,1,27,29.3075,1068.92
65.2476,30.6104,3.48647,um,Spot,Position,1,28,39.138,1676.69
86.0157,29.3716,4.0645,um,Spot,Position,1,29,34.6467,734.417
78.296,36.004,5.22437,um,Spot,Position,1,30,39.5005,1066.54
80.0229,28.2106,7.62817,um,Spot,Position,1,31,32.0105,1220.8
90.0117,30.1998,1.2,um,Spot,Position,1,33,27.0122,769.732
100.194,36.2291,2.59466,um,Spot,Position,1,36,30.7868,1279.1
90.6834,29.8659,5.22451,um,Spot,Position,1,38,21.0368,829.717
111.939,31.8719,6.40184,um,Spot,Position,1,40,17.3687,1123.4
116.957,30.221,1.2,um,Spot,Position,1,45,25.7323,882.965
21.7536,50.2858,1.2,um,Spot,Position,1,61,28.1195,908.35
25.2634,60.8183,1.2,um,Spot,Position,1,65,149.059,1014.86
23.0892,40.1999,1.7728,um,Spot,Position,1,66,35.701,1720.32
21.8197,60.6501,2.62023,um,Spot,Position,1,67,172.365,1478.32
35.6963,42.5493,1.2,um,Spot,Position,1,71,163.062,1421.57
53.677,48.7786,1.2,um,Spot,Position,1,72,932.413,1492.36
39.4218,49.4064,1.2,um,Spot,Position,1,73,417.448,1327.19
46.8863,63.8231,1.2,um,Spot,Position,1,74,543.119,1563.53
37.2714,64.7366,1.2,um,Spot,Position,1,75,576.55,1345.71
44.923,45.068,0.983513,um,Spot,Position,1,76,609.886,1623.21
43.1663,37.8097,2.0215,um,Spot,Position,1,77,149.118,1119.29
31.6745,47.3321,2.79025,um,Spot,Position,1,78,236.728,1767.85
49.5686,50.5264,2.49134,um,Spot,Position,1,79,838.261,1520.59
31.72,55.5793,5.24205,um,Spot,Position,1,80,54.3992,1454.9
33.0053,37.8579,5.65875,um,Spot,Position,1,81,217.22,1663.15
66.9066,37.5666,1.2,um,Spot,Position,1,82,137.047,1440.09
82.5497,43.3485,1.2,um,Spot,Position,1,83,45.9057,1006.04
73.9523,52.7278,1.2,um,Spot,Position,1,84,60.7949,1465.47
68.3134,57.4473,1.2,um,Spot,Position,1,85,61.0162,1379.17
66.6282,48.7276,1.16214,um,Spot,Position,1,86,84.3898,1386.2
59.3886,46.0012,2.28415,um,Spot,Position,1,87,290.15,1395.18
84.6708,53.075,2.33193,um,Spot,Position,1,88,176.957,1133.12
86.0503,61.7582,2.09995,um,Spot,Position,1,89,203.163,1075.34
59.9697,55.4108,4.34039,um,Spot,Position,1,90,397.996,1431.23
65.0611,55.8944,4.60469,um,Spot,Position,1,91,122.873,1257.03
80.1241,56.5558,4.64909,um,Spot,Position,1,92,87.3012,1341.34
72.4258,37.1784,4.96639,um,Spot,Position,1,93,39.2213,1277.05
84.1232,53.6219,6.98919,um,Spot,Position,1,94,182.451,1257.05
114.662,39.8586,1.2,um,Spot,Position,1,95,24.5615,1017.52
94.1731,40.144,1.2,um,Spot,Position,1,96,36.4167,1352.26
90.6559,52.5199,1.2,um,Spot,Position,1,97,57.8193,1059.59
113.649,54.4295,1.2,um,Spot,Position,1,98,27.4479,1592.07
102.03,57.8503,1.2,um,Spot,Position,1,99,28.3755,1018.94
90.131,61.4298,1.2,um,Spot,Position,1,100,54.3485,1097.64
99.8587,63.538,1.2,um,Spot,Position,1,101,38.4568,769.626
104.318,63.1118,0.854806,um,Spot,Position,1,102,99.527,897.51
100.291,47.1378,1.85047,um,Spot,Position,1,103,26.6157,1379.99
